;  Filter transmissions for ESP study
;
;	Index    Filter
;   ------   -----------------------------------------
;	1        Al foil filter before grating:  Al/Al2O3  1500/200 Angstrom
;	2        Thicker Al foil filter before grating:  Al/Al2O3  3000/200 Angstrom
;	3        Ti/C foil for zeroth order diode:  Ti/C  2500/100 Angstrom
;	4        Al/C diode filter for 17-34 nm range:  Al/C  1500/100 Angstrom
;	5        Al/Mg diode filter for 25-50 nm range:  Al/Mg/C  1000/2000/200 Angstrom
;	6        Al/Sn diode filter for 52-80 nm range:  Al/Sn/C  500/1000/200 Angstrom
;
FORMAT = (F7.2,6E12.3)
 301 lines : Filter Transmissions for ESP Study 
 7 columns : Wavelength, T_Al, T_Al2, T_TiC, T_AlC, T_AlMgC, T_AlSnC
   1.61   9.977E-01   9.955E-01   9.741E-01   9.978E-01   9.970E-01   9.794E-01
   1.66   9.975E-01   9.951E-01   9.722E-01   9.976E-01   9.968E-01   9.779E-01
   1.70   9.973E-01   9.947E-01   9.702E-01   9.974E-01   9.965E-01   9.763E-01
   1.75   9.970E-01   9.943E-01   9.680E-01   9.972E-01   9.962E-01   9.746E-01
   1.79   9.968E-01   9.938E-01   9.657E-01   9.970E-01   9.959E-01   9.728E-01
   1.84   9.965E-01   9.934E-01   9.633E-01   9.968E-01   9.956E-01   9.708E-01
   1.89   9.963E-01   9.928E-01   9.606E-01   9.965E-01   9.952E-01   9.687E-01
   1.94   9.960E-01   9.922E-01   9.578E-01   9.962E-01   9.948E-01   9.665E-01
   2.00   9.956E-01   9.916E-01   9.549E-01   9.959E-01   9.944E-01   9.641E-01
   2.05   9.953E-01   9.909E-01   9.517E-01   9.956E-01   9.939E-01   9.616E-01
   2.10   9.949E-01   9.902E-01   9.484E-01   9.953E-01   9.935E-01   9.590E-01
   2.16   9.945E-01   9.894E-01   9.449E-01   9.949E-01   9.929E-01   9.561E-01
   2.22   9.940E-01   9.886E-01   9.411E-01   9.945E-01   9.924E-01   9.531E-01
   2.28   9.936E-01   9.877E-01   9.372E-01   9.940E-01   9.917E-01   9.499E-01
   2.34   9.931E-01   9.867E-01   9.330E-01   9.936E-01   9.911E-01   9.466E-01
   2.41   9.925E-01   9.857E-01   9.286E-01   9.930E-01   9.904E-01   9.430E-01
   2.47   9.919E-01   9.845E-01   9.239E-01   9.925E-01   9.896E-01   9.392E-01
   2.54   9.913E-01   9.833E-01   9.901E-01   9.919E-01   9.888E-01   9.353E-01
   2.61   9.906E-01   9.820E-01   9.894E-01   9.913E-01   9.879E-01   9.311E-01
   2.68   9.899E-01   9.806E-01   9.886E-01   9.906E-01   9.869E-01   9.267E-01
   2.75   9.891E-01   9.791E-01   9.877E-01   9.898E-01   9.859E-01   9.221E-01
   2.82   9.882E-01   9.775E-01   9.868E-01   9.890E-01   9.848E-01   9.256E-01
   2.90   9.873E-01   9.757E-01   9.858E-01   9.882E-01   9.836E-01   9.205E-01
   2.98   9.863E-01   9.738E-01   9.847E-01   9.872E-01   9.823E-01   9.152E-01
   3.06   9.852E-01   9.718E-01   9.836E-01   9.863E-01   9.809E-01   9.320E-01
   3.14   9.841E-01   9.696E-01   9.824E-01   9.852E-01   9.794E-01   9.273E-01
   3.23   9.828E-01   9.673E-01   9.811E-01   9.840E-01   9.779E-01   9.717E-01
   3.31   9.815E-01   9.648E-01   9.796E-01   9.828E-01   9.761E-01   9.695E-01
   3.40   9.801E-01   9.622E-01   9.781E-01   9.815E-01   9.743E-01   9.672E-01
   3.49   9.786E-01   9.593E-01   9.765E-01   9.801E-01   9.723E-01   9.648E-01
   3.59   9.769E-01   9.562E-01   9.747E-01   9.786E-01   9.702E-01   9.622E-01
   3.69   9.752E-01   9.529E-01   9.729E-01   9.769E-01   9.679E-01   9.594E-01
   3.79   9.733E-01   9.494E-01   9.709E-01   9.752E-01   9.655E-01   9.565E-01
   3.89   9.713E-01   9.457E-01   9.687E-01   9.733E-01   9.629E-01   9.533E-01
   3.99   9.692E-01   9.416E-01   9.664E-01   9.713E-01   9.601E-01   9.500E-01
