;  Henke constants used in calculating transmissions
;	Transmission = exp( -1. * thickness_in_Angstroms / mu )
;	where "mu" is the Henke constant listed below
;
;	Tom Woods
;	26 May 2005
;
;	NOTE:  XPS responsitivity is calculated using "SiO" as separate item
;	instead of using Si and O separately.
;
FORMAT = (F10.3,6E11.3)
 301 lines : Henke constants from Tom Woods for comparison
 7 columns : Wavelength_Angstrom  mu_Ti   mu_Al  mu_C   mu_Si   mu_SiO   mu_O
     0.743  8.625E+05  6.878E+06  1.387E+08  6.111E+06  9.362E+06  3.171E+07
     0.724  9.320E+05  7.463E+06  1.511E+08  6.626E+06  1.016E+07  3.459E+07
     0.705  1.007E+06  8.097E+06  1.645E+08  7.185E+06  1.102E+07  3.770E+07
     0.686  1.089E+06  8.788E+06  1.804E+08  7.792E+06  1.195E+07  4.112E+07
     0.668  1.177E+06  9.537E+06  1.974E+08  8.451E+06  1.297E+07  4.486E+07
     0.650  1.273E+06  1.036E+07  2.151E+08  9.167E+06  1.407E+07  4.891E+07
     0.633  1.376E+06  1.124E+07  2.363E+08  9.950E+06  1.528E+07  5.343E+07
     0.617  1.488E+06  1.222E+07  2.581E+08  1.080E+07  1.659E+07  5.825E+07
     0.600  1.609E+06  1.327E+07  2.796E+08  1.172E+07  1.802E+07  6.355E+07
     0.585  1.741E+06  1.441E+07  3.107E+08  1.272E+07  1.955E+07  6.933E+07
     0.569  1.883E+06  1.566E+07  3.355E+08  1.381E+07  2.124E+07  7.557E+07
     0.554  2.037E+06  1.701E+07  3.728E+08  1.499E+07  2.308E+07  8.265E+07
     0.540  2.204E+06  1.848E+07  4.092E+08  1.627E+07  2.504E+07  8.972E+07
     0.525  2.385E+06  2.009E+07  4.415E+08  1.768E+07  2.719E+07  9.811E+07
     0.512  2.581E+06  2.182E+07  4.934E+08  1.920E+07  2.954E+07  1.069E+08
     0.498  2.793E+06  2.373E+07  5.412E+08  2.084E+07  3.208E+07  1.165E+08
     0.485  3.022E+06  2.577E+07  5.785E+08  2.264E+07  3.488E+07  1.271E+08
     0.472  3.272E+06  2.801E+07  6.453E+08  2.460E+07  3.787E+07  1.387E+08
     0.460  3.541E+06  3.045E+07  6.991E+08  2.671E+07  4.122E+07  1.511E+08
     0.448  3.834E+06  3.309E+07  7.626E+08  2.903E+07  4.474E+07  1.645E+08
     0.436  4.151E+06  3.600E+07  8.389E+08  3.154E+07  4.863E+07  1.804E+08
     0.424  4.495E+06  3.911E+07  9.321E+08  3.424E+07  5.292E+07  1.951E+08
     0.413  4.868E+06  4.258E+07  9.869E+08  3.720E+07  5.746E+07  2.124E+08
