;  Henke constants used in calculating transmissions
;	Transmission = exp( -1. * thickness_in_Angstroms / mu )
;	where "mu" is the Henke constant listed below
;
;	Tom Woods
;	26 May 2005
;
;	NOTE:  XPS responsitivity is calculated using "SiO" as separate item
;	instead of using Si and O separately.
;
FORMAT = (F10.3,6E11.3)
 301 lines : Henke constants from Tom Woods for comparison
 7 columns : Wavelength_Angstrom  mu_Ti   mu_Al  mu_C   mu_Si   mu_SiO   mu_O
   230.741  1.284E+02  3.609E+03  5.965E+02  3.101E+03  5.523E+02  1.646E+02
   224.661  1.451E+02  3.693E+03  6.235E+02  3.195E+03  5.778E+02  1.726E+02
   218.746  1.648E+02  3.831E+03  6.516E+02  3.291E+03  6.045E+02  1.809E+02
   212.985  1.871E+02  3.975E+03  6.811E+02  3.390E+03  6.324E+02  1.896E+02
   207.377  2.147E+02  4.125E+03  7.119E+02  3.492E+03  6.615E+02  1.987E+02
   201.915  2.483E+02  4.280E+03  7.463E+02  3.598E+03  6.920E+02  2.083E+02
   196.597  2.850E+02  4.442E+03  7.898E+02  3.706E+03  7.239E+02  2.183E+02
   191.421  3.236E+02  4.609E+03  8.358E+02  3.820E+03  7.572E+02  2.288E+02
   186.379  3.673E+02  4.791E+03  8.846E+02  3.941E+03  7.922E+02  2.398E+02
   181.471  4.085E+02  4.990E+03  9.362E+02  4.066E+03  8.287E+02  2.514E+02
   176.691  4.377E+02  5.172E+03  9.908E+02  4.194E+03  8.668E+02  2.634E+02
   172.040  4.683E+02  5.324E+03  1.049E+03  4.327E+03  9.063E+02  2.760E+02
   167.509  4.966E+02  5.413E+02  1.110E+03  4.463E+03  9.475E+02  2.891E+02
   163.097  5.184E+02  5.087E+02  1.174E+03  4.604E+03  9.906E+02  3.028E+02
   158.802  5.394E+02  4.780E+02  1.243E+03  4.755E+03  1.036E+03  3.172E+02
   154.620  5.551E+02  4.491E+02  1.315E+03  4.943E+03  1.084E+03  3.323E+02
   150.548  5.699E+02  4.220E+02  1.392E+03  5.145E+03  1.135E+03  3.481E+02
   146.583  5.848E+02  3.965E+02  1.473E+03  5.356E+03  1.187E+03  3.647E+02
   142.722  5.940E+02  3.761E+02  1.559E+03  5.575E+03  1.243E+03  3.820E+02
   138.964  6.028E+02  3.685E+02  1.650E+03  5.803E+03  1.301E+03  4.002E+02
   135.304  6.117E+02  3.626E+02  1.746E+03  6.040E+03  1.361E+03  4.192E+02
   131.741  6.208E+02  3.567E+02  1.848E+03  6.351E+03  1.427E+03  4.391E+02
   128.272  6.314E+02  3.510E+02  1.956E+03  6.763E+03  1.498E+03  4.600E+02
   124.894  6.483E+02  3.453E+02  2.070E+03  9.284E+02  8.340E+02  4.830E+02
   121.611  6.666E+02  3.397E+02  2.191E+03  8.587E+02  8.193E+02  5.118E+02
   118.405  6.855E+02  3.350E+02  2.318E+03  7.943E+02  8.013E+02  5.425E+02
   115.289  7.049E+02  3.313E+02  2.454E+03  7.347E+02  7.802E+02  5.749E+02
   112.251  7.254E+02  3.277E+02  2.597E+03  6.796E+02  7.565E+02  6.093E+02
   109.292  7.525E+02  3.242E+02  2.748E+03  6.284E+02  7.303E+02  6.458E+02
   106.412  7.816E+02  3.206E+02  2.909E+03  5.609E+02  6.843E+02  6.844E+02
   103.611  8.117E+02  3.171E+02  3.078E+03  5.012E+02  6.381E+02  7.254E+02
   100.887  8.431E+02  3.137E+02  3.257E+03  4.516E+02  5.959E+02  7.687E+02
    98.225  8.698E+02  3.156E+02  3.448E+03  4.240E+02  5.729E+02  8.147E+02
    95.641  8.914E+02  3.233E+02  3.649E+03  4.098E+02  5.630E+02  8.634E+02
    93.120  9.136E+02  3.313E+02  3.865E+03  3.982E+02  5.551E+02  9.151E+02
    90.668  9.363E+02  3.394E+02  4.107E+03  3.988E+02  5.608E+02  9.686E+02
    88.279  9.603E+02  3.478E+02  4.365E+03  4.047E+02  5.727E+02  1.024E+03
    85.959  9.862E+02  3.563E+02  4.638E+03  4.218E+02  5.981E+02  1.083E+03
    83.690  1.013E+03  3.651E+02  4.929E+03  4.395E+02  6.246E+02  1.146E+03
    81.490  1.040E+03  3.751E+02  5.237E+03  4.562E+02  6.501E+02  1.212E+03
    79.341  1.069E+03  3.870E+02  5.566E+03  4.562E+02  6.553E+02  1.282E+03
    77.254  1.099E+03  3.993E+02  5.915E+03  4.547E+02  6.582E+02  1.356E+03
    75.220  1.137E+03  4.119E+02  6.285E+03  4.521E+02  6.595E+02  1.434E+03
    73.238  1.179E+03  4.250E+02  6.679E+03  4.511E+02  6.627E+02  1.516E+03
    71.309  1.222E+03  4.385E+02  7.098E+03  4.616E+02  6.807E+02  1.604E+03
    69.432  1.267E+03  4.540E+02  7.543E+03  4.774E+02  7.057E+02  1.696E+03
    67.603  1.312E+03  4.798E+02  8.017E+03  4.986E+02  7.387E+02  1.807E+03
    65.822  1.353E+03  5.094E+02  8.580E+03  5.285E+02  7.845E+02  1.950E+03
    64.090  1.396E+03  5.408E+02  9.234E+03  5.597E+02  8.324E+02  2.103E+03
    62.400  1.443E+03  5.741E+02  9.938E+03  5.921E+02  8.825E+02  2.270E+03
    60.758  1.504E+03  6.098E+02  1.070E+04  6.264E+02  9.355E+02  2.449E+03
    59.157  1.571E+03  6.479E+02  1.151E+04  6.627E+02  9.916E+02  2.642E+03
    57.599  1.641E+03  6.884E+02  1.239E+04  7.011E+02  1.051E+03  2.851E+03
    56.082  1.720E+03  7.314E+02  1.332E+04  7.417E+02  1.114E+03  3.076E+03
    54.605  1.809E+03  7.734E+02  1.428E+04  7.847E+02  1.181E+03  3.319E+03
    53.167  1.903E+03  8.146E+02  1.530E+04  8.301E+02  1.252E+03  3.581E+03
    51.768  1.993E+03  8.578E+02  1.640E+04  8.782E+02  1.326E+03  3.856E+03
    50.405  2.080E+03  9.035E+02  1.761E+04  9.291E+02  1.404E+03  4.121E+03
    49.078  2.171E+03  9.515E+02  1.918E+04  9.829E+02  1.487E+03  4.400E+03
    47.784  2.270E+03  1.002E+03  2.098E+04  1.040E+03  1.574E+03  4.697E+03
    46.527  2.380E+03  1.057E+03  2.294E+04  1.100E+03  1.667E+03  5.015E+03
    45.301  2.497E+03  1.126E+03  2.509E+04  1.164E+03  1.765E+03  5.355E+03
    44.108  2.620E+03  1.205E+03  2.744E+04  1.231E+03  1.869E+03  5.721E+03
    42.947  2.750E+03  1.289E+03  1.028E+03  1.303E+03  1.979E+03  6.116E+03
    41.815  2.887E+03  1.378E+03  1.090E+03  1.382E+03  2.101E+03  6.539E+03
    40.714  3.030E+03  1.474E+03  1.157E+03  1.472E+03  2.239E+03  6.991E+03
    39.642  3.182E+03  1.577E+03  1.227E+03  1.568E+03  2.386E+03  7.474E+03
    38.598  3.342E+03  1.686E+03  1.302E+03  1.671E+03  2.542E+03  7.990E+03
    37.581  3.511E+03  1.804E+03  1.382E+03  1.780E+03  2.709E+03  8.543E+03
    36.592  3.687E+03  1.929E+03  1.466E+03  1.896E+03  2.887E+03  9.133E+03
    35.628  3.873E+03  2.063E+03  1.556E+03  2.020E+03  3.076E+03  9.764E+03
    34.690  4.088E+03  2.207E+03  1.651E+03  2.152E+03  3.278E+03  1.044E+04
    33.777  4.352E+03  2.348E+03  1.751E+03  2.292E+03  3.493E+03  1.116E+04
    32.887  4.632E+03  2.495E+03  1.859E+03  2.442E+03  3.722E+03  1.193E+04
    32.020  4.922E+03  2.651E+03  1.984E+03  2.599E+03  3.963E+03  1.276E+04
    31.177  5.176E+03  2.816E+03  2.119E+03  2.765E+03  4.219E+03  1.366E+04
    30.357  5.449E+03  2.992E+03  2.264E+03  2.942E+03  4.491E+03  1.462E+04
    29.557  5.738E+03  3.179E+03  2.419E+03  3.130E+03  4.780E+03  1.566E+04
    28.779  6.042E+03  3.377E+03  2.584E+03  3.330E+03  5.088E+03  1.677E+04
