           eV         A/W                %
        50.5714   -9.50247E-06        939.100
        52.7234   -1.01824E-05        621.200
        55.0667   -9.29655E-06        503.200
        57.6279   -5.20080E-06        636.300
        60.4390   -4.45766E-06        519.000
        63.5385   -1.35765E-06        1303.70
        66.9730   -2.45567E-06        610.400
        70.8000   -8.92436E-07        1701.50
        74.6385    2.61051E-06        613.300
        79.4231    1.93230E-05        60.5000
        84.8630    5.00384E-05        16.7000
        91.1029    0.000261803        2.40000
        98.3333     0.00121547        1.00000
        106.810     0.00212802        1.50000
        116.887     0.00382305        1.40000
        123.900     0.00539566        1.40000
        130.421     0.00699476        1.40000
        137.667     0.00924888        1.30000
        149.277      0.0110616        1.30000
        158.846      0.0110414        1.20000
        169.726     0.00990434        1.20000
        182.206     0.00851203        1.10000
        196.667     0.00507338        1.00000
        213.621     0.00131941        1.00000
        233.774    0.000614945        1.20000
        247.800    0.000390420        3.50000
        250.000    0.000371488        1.30000
        260.000    0.000349358        12.0000
        270.000    0.000341537        11.2000
        280.000    0.000354381        14.1000
        310.000    0.000346049        10.2000
        330.000    0.000302926        6.60000
        350.000    0.000336611        4.80000
        370.000    0.000452783        3.50000
        390.000    0.000579783        2.70000
        410.000    0.000785242        2.10000
        430.000    0.000990908        1.70000
        450.000     0.00122505        1.30000
        490.000     0.00165160        6.00000
        530.000     0.00268291        3.70000
        570.000     0.00366949        2.50000
        610.000     0.00551489        1.10000
        650.000     0.00787585       0.900000
        690.000      0.0109902       0.800000
        720.000      0.0140923       0.800000
        760.000      0.0181132       0.900000
        800.000      0.0225147       0.900000
        840.000      0.0276701       0.900000
        880.000      0.0331923       0.900000
        920.000      0.0389904       0.900000
        1000.00      0.0506081        1.30000
        1100.00      0.0634501        1.40000
        1200.00      0.0737606        1.50000
        1300.00      0.0802320        1.60000
        1400.00      0.0836675        1.80000
        1500.00      0.0841926        1.90000

