; #
; # NRLEUV Quiet Sun Irradiances from 50-1200 A
; # File generated: Thu Jun 24 12:29:02 2004   by  Harry Warren, NRL
; #
; # Wavelengths are in angstroms.
; # Irradiances are in photons/cm^2/sec.
; #
; # Wavelength bins are centered, i.e., 50.5 corresponds
; # to wavelengths greater or equal to 50 A and less
; # than 51 A.
; # 
; # WAVELENGTH IRRADIANCE
 1200 lines  :  NRLEUV Version 2 Quiet Sun irradiance
    2 columns :  wavelength (Angstroms), irradiance (photons/cm^2/sec)
    1034.5   1.923e+07
    1035.5   1.960e+07
    1036.5   4.914e+08
    1037.5   2.236e+09
    1038.5   2.070e+07
    1039.5   2.123e+07
    1040.5   2.313e+07
    1041.5   2.188e+07
    1042.5   2.229e+07
    1043.5   2.798e+07
    1044.5   2.312e+07
    1045.5   4.684e+07
    1046.5   2.399e+07
    1047.5   3.602e+07
    1048.5   2.490e+07
    1049.5   4.300e+07
    1050.5   2.915e+07
    1051.5   2.650e+07
    1052.5   2.680e+07
    1053.5   3.040e+07
    1054.5   2.784e+07
    1055.5   2.832e+07
    1056.5   3.022e+07
    1057.5   2.981e+07
    1058.5   2.992e+07
    1059.5   3.050e+07
    1060.5   3.105e+07
    1061.5   3.162e+07
    1062.5   6.790e+07
    1063.5   3.352e+07
    1064.5   3.341e+07
    1065.5   5.484e+07
    1066.5   4.663e+07
    1067.5   3.531e+07
    1068.5   3.597e+07
    1069.5   3.663e+07
    1070.5   3.734e+07
    1071.5   3.801e+07
    1072.5   9.431e+07
    1073.5   4.502e+07
    1074.5   4.016e+07
    1075.5   4.091e+07
    1076.5   4.168e+07
    1077.5   7.931e+07
    1078.5   4.323e+07
    1079.5   4.403e+07
    1080.5   4.489e+07
    1081.5   4.569e+07
    1082.5   4.653e+07
    1083.5   1.179e+08
    1084.5   2.594e+08
    1085.5   3.995e+08
    1086.5   5.012e+07
    1087.5   5.102e+07
    1088.5   5.196e+07
    1089.5   5.295e+07
    1090.5   5.391e+07
    1091.5   5.493e+07
    1092.5   5.592e+07
    1093.5   5.696e+07
    1094.5   5.803e+07
    1095.5   5.912e+07
    1096.5   7.345e+07
    1097.5   6.133e+07
    1098.5   6.481e+07
    1099.5   6.495e+07
    1100.5   6.498e+07
    1101.5   1.202e+07
    1102.5   3.806e+07
    1103.5   1.194e+07
    1104.5   1.224e+07
    1105.5   1.252e+07
    1106.5   1.282e+07
    1107.5   1.313e+07
    1108.5   5.992e+07
    1109.5   1.306e+08
    1110.5   1.405e+07
    1111.5   1.450e+07
    1112.5   1.472e+07
    1113.5   3.202e+08
    1114.5   1.542e+07
    1115.5   1.633e+07
    1116.5   1.621e+07
    1117.5   1.672e+07
    1118.5   1.697e+07
    1119.5   1.731e+07
    1120.5   1.773e+07
    1121.5   1.825e+07
    1122.5   4.183e+07
    1123.5   1.904e+07
    1124.5   2.233e+07
    1125.5   1.991e+07
    1126.5   2.067e+07
    1127.5   2.084e+07
    1128.5   6.583e+07
    1129.5   2.183e+07
    1130.5   2.248e+07
    1131.5   2.403e+07
    1132.5   2.340e+07
    1133.5   2.396e+07
    1134.5   2.451e+07
    1135.5   2.509e+07
    1136.5   2.774e+07
    1137.5   2.629e+07
    1138.5   2.708e+07
    1139.5   2.752e+07
    1140.5   2.817e+07
    1141.5   2.883e+07
    1142.5   2.951e+07
    1143.5   3.064e+07
    1144.5   3.091e+07
    1145.5   3.748e+07
    1146.5   3.293e+07
    1147.5   3.315e+07
    1148.5   3.391e+07
    1149.5   3.472e+07
    1150.5   3.559e+07
    1151.5   3.637e+07
    1152.5   3.722e+07
    1153.5   3.820e+07
    1154.5   3.897e+07
    1155.5   3.993e+07
    1156.5   4.085e+07
    1157.5   4.178e+07
    1158.5   4.275e+07
    1159.5   4.377e+07
    1160.5   4.478e+07
    1161.5   4.582e+07
    1162.5   4.692e+07
    1163.5   4.800e+07
    1164.5   4.912e+07
    1165.5   5.028e+07
    1166.5   5.572e+07
    1167.5   5.443e+07
    1168.5   5.489e+07
    1169.5   5.553e+07
    1170.5   5.644e+07
    1171.5   5.802e+07
    1172.5   5.943e+07
    1173.5   6.050e+07
    1174.5   4.775e+08
    1175.5   2.175e+09
    1176.5   4.764e+08
    1177.5   6.636e+07
    1178.5   6.792e+07
    1179.5   6.959e+07
    1180.5   7.114e+07
    1181.5   7.280e+07
    1182.5   7.497e+07
    1183.5   7.734e+07
    1184.5   7.857e+07
    1185.5   8.049e+07
    1186.5   8.181e+07
    1187.5   8.364e+07
    1188.5   8.562e+07
    1189.5   9.431e+07
    1190.5   3.078e+08
    1191.5   9.979e+07
    1192.5   9.396e+07
    1193.5   4.761e+08
    1194.5   1.027e+09
    1195.5   1.007e+08
    1196.5   1.063e+08
    1197.5   2.939e+08
    1198.5   1.080e+08
    1199.5   1.218e+08
