; #
; # NRLEUV Quiet Sun Irradiances from 50-1200 A
; # File generated: Thu Jun 24 12:29:02 2004   by  Harry Warren, NRL
; #
; # Wavelengths are in angstroms.
; # Irradiances are in photons/cm^2/sec.
; #
; # Wavelength bins are centered, i.e., 50.5 corresponds
; # to wavelengths greater or equal to 50 A and less
; # than 51 A.
; # 
; # WAVELENGTH IRRADIANCE
 1200 lines  :  NRLEUV Version 2 Quiet Sun irradiance
    2 columns :  wavelength (Angstroms), irradiance (photons/cm^2/sec)
     245.5   4.902e+06
     246.5   6.385e+07
     247.5   1.072e+07
     248.5   1.104e+07
     249.5   2.089e+07
     250.5   7.036e+06
     251.5   5.593e+07
     252.5   3.801e+06
     253.5   1.604e+07
     254.5   1.474e+06
     255.5   2.874e+06
     256.5   1.996e+08
     257.5   1.262e+08
     258.5   7.084e+07
     259.5   3.222e+07
     260.5   2.971e+06
     261.5   4.062e+07
     262.5   5.064e+05
     263.5   7.805e+04
     264.5   4.869e+07
     265.5   7.847e+05
     266.5   7.119e+06
     267.5   1.504e+06
     268.5   1.653e+07
     269.5   1.473e+06
     270.5   3.541e+07
     271.5   1.187e+06
     272.5   6.229e+07
     273.5   1.746e+06
     274.5   3.967e+07
     275.5   1.407e+08
     276.5   9.412e+07
     277.5   8.717e+07
     278.5   8.325e+07
     279.5   2.512e+06
     280.5   9.423e+06
     281.5   4.477e+06
     282.5   4.687e+06
     283.5   5.595e+06
     284.5   3.723e+07
     285.5   5.977e+06
     286.5   3.879e+06
     287.5   1.186e+06
     288.5   1.104e+07
     289.5   2.709e+06
     290.5   3.357e+07
     291.5   1.317e+07
     292.5   9.083e+07
     293.5   1.161e+07
     294.5   2.998e+06
     295.5   4.286e+06
     296.5   1.417e+08
     297.5   1.377e+06
     298.5   1.616e+05
     299.5   1.698e+06
     300.5   2.776e+06
     301.5   4.133e+05
     302.5   8.024e+05
     303.5   3.929e+09
     304.5   3.227e+06
     305.5   1.380e+07
     306.5   7.829e+06
     307.5   5.951e+06
     308.5   2.093e+07
     309.5   1.294e+07
     310.5   1.337e+06
     311.5   3.450e+07
     312.5   2.700e+07
     313.5   6.703e+07
     314.5   1.457e+08
     315.5   1.671e+08
     316.5   2.866e+08
     317.5   4.740e+07
     318.5   2.233e+06
     319.5   4.449e+08
     320.5   1.667e+07
     321.5   1.146e+07
     322.5   1.824e+06
     323.5   5.554e+06
     324.5   4.467e+06
     325.5   5.511e+06
     326.5   1.008e+06
     327.5   3.441e+05
     328.5   1.188e+07
     329.5   1.235e+05
     330.5   2.052e+05
     331.5   1.020e+05
     332.5   3.028e+07
     333.5   1.573e+06
     334.5   1.793e+07
     335.5   3.720e+07
     336.5   4.412e+04
     337.5   6.556e+04
     338.5   4.747e+07
     339.5   5.664e+04
     340.5   5.084e+04
     341.5   7.128e+07
     342.5   5.898e+05
     343.5   1.339e+06
     344.5   3.159e+07
     345.5   1.677e+08
     346.5   2.931e+07
     347.5   8.207e+07
     348.5   4.619e+07
     349.5   1.674e+08
     350.5   6.584e+05
     351.5   6.278e+06
     352.5   1.359e+08
     353.5   4.241e+07
     354.5   5.934e+06
     355.5   8.022e+06
     356.5   6.728e+07
     357.5   7.163e+06
     358.5   3.222e+07
     359.5   3.091e+07
     360.5   2.622e+06
     361.5   2.966e+06
     362.5   6.225e+05
     363.5   1.356e+07
     364.5   8.461e+07
     365.5   8.288e+07
     366.5   7.597e+05
     367.5   7.009e+07
     368.5   6.589e+08
     369.5   2.175e+07
     370.5   2.619e+05
     371.5   1.137e+06
     372.5   7.589e+05
     373.5   3.586e+06
     374.5   2.474e+07
     375.5   1.090e+05
     376.5   3.269e+05
     377.5   1.787e+05
     378.5   2.539e+06
     379.5   1.444e+07
     380.5   1.636e+06
     381.5   6.697e+06
     382.5   2.810e+06
     383.5   7.765e+06
     384.5   9.361e+06
     385.5   7.496e+06
     386.5   7.019e+06
     387.5   1.513e+07
     388.5   7.786e+06
     389.5   5.034e+05
     390.5   1.254e+06
     391.5   4.340e+05
     392.5   9.691e+06
     393.5   3.500e+05
     394.5   6.694e+05
     395.5   6.852e+06
     396.5   5.974e+05
     397.5   4.318e+05
     398.5   2.971e+05
     399.5   4.220e+07
     400.5   6.081e+07
     401.5   8.703e+07
     402.5   8.125e+05
     403.5   1.043e+08
     404.5   5.926e+05
     405.5   5.527e+05
     406.5   3.311e+06
     407.5   4.225e+05
     408.5   8.898e+05
     409.5   7.238e+05
     410.5   1.316e+06
     411.5   1.728e+07
     412.5   1.233e+06
     413.5   1.028e+06
     414.5   1.636e+06
     415.5   1.867e+06
     416.5   2.265e+07
     417.5   4.033e+06
     418.5   1.620e+06
     419.5   1.066e+07
     420.5   1.397e+06
     421.5   4.755e+06
     422.5   1.153e+06
     423.5   9.082e+05
     424.5   9.306e+05
     425.5   9.385e+05
     426.5   1.099e+06
     427.5   1.425e+06
     428.5   3.914e+06
     429.5   1.840e+07
     430.5   9.048e+07
     431.5   5.021e+07
     432.5   1.282e+06
     433.5   1.272e+07
     434.5   7.673e+07
     435.5   2.048e+07
     436.5   1.469e+08
     437.5   1.610e+06
     438.5   4.940e+06
     439.5   7.587e+06
     440.5   2.666e+06
     441.5   7.151e+06
     442.5   2.179e+06
     443.5   2.253e+07
     444.5   2.715e+06
     445.5   2.675e+06
     446.5   2.343e+06
     447.5   4.254e+06
     448.5   8.497e+06
     449.5   2.703e+06
     450.5   2.959e+06
     451.5   7.155e+06
     452.5   8.971e+06
     453.5   3.342e+06
     454.5   3.493e+06
     455.5   3.611e+06
     456.5   3.622e+06
     457.5   4.546e+06
     458.5   4.232e+06
     459.5   4.941e+07
     460.5   6.441e+06
     461.5   5.410e+06
     462.5   5.724e+06
     463.5   6.324e+06
     464.5   5.603e+06
     465.5   3.251e+08
     466.5   6.535e+07
     467.5   6.862e+06
     468.5   6.668e+06
     469.5   3.198e+07
     470.5   6.859e+06
     471.5   7.091e+06
     472.5   7.436e+06
     473.5   7.757e+06
     474.5   7.977e+06
     475.5   8.649e+06
     476.5   9.056e+06
     477.5   9.859e+06
     478.5   9.494e+06
     479.5   1.058e+07
     480.5   1.474e+07
     481.5   2.444e+07
     482.5   3.392e+07
     483.5   1.196e+07
     484.5   1.270e+07
     485.5   1.327e+07
     486.5   1.504e+07
     487.5   1.464e+07
     488.5   2.276e+07
     489.5   3.212e+07
     490.5   1.961e+07
     491.5   2.533e+07
     492.5   1.855e+07
     493.5   1.829e+07
     494.5   2.081e+07
     495.5   2.215e+07
     496.5   2.138e+07
     497.5   2.180e+07
     498.5   2.400e+07
     499.5   5.293e+07
     500.5   2.483e+07
     501.5   2.706e+07
     502.5   2.713e+07
