; Solar UV Spectra for Solar Cycle 22 Conditions
;  
; Spectra are based on UARS SOLSTICE measurements from 119 to 420 nm
; and a 1994 rocket measurement and AE-E relative variability from 0 to 119 nm
;  
; You can read this data file using the IDL procedure called  read_dat.pro
;  
; Column 1:  wavelength in nm
; Column 2:  solar minimum irradiance in units of photons/sec/cm^2
; Column 3:  27-day variability for 1992/032 (max/min)
; Column 4:  11-year variability for solar cycle 22 (max/min)
;  
; REFERENCE:
; Tom Woods and Gary Rottman, Solar ultraviolet variability over time periods
; of aeronomic interest, in Comparative Aeronomy in the Solar System, edited
; by M. Mendillo, A. Nagy, and J. Hunter Waite, Jr., Geophys. Monograph Series,
; Wash. DC, pp. 221-234, 2002.
;  
; Revised 10/25/01 to include YOHKOH SXT and GOES XRS values below 3 nm
;
; Revised 10/04/02 to include TIMED/NRLEUV results below 30 nm and 
;		   to extend UARS data from 200 nm up to 420 nm
;
; Revised 5/3/04   to update irradiance for 9-14 nm based on Mewe model
;			increased by factor of 2 at 9.5 nm to 30 at 13.5 nm
;
; Revised 12/9/04  to update irradiance for 3-27 nm based on HEUVAC model
;
FORMAT = (F8.1,E12.4,2F10.5)
 420 lines : Reference Spectra 0-420 nm, Tom Woods, LASP/CU, 9/20/02
 4 columns : Wavelength_nm  Irradiance_ph/s/cm^2   27-Day_Ratio  SC_Ratio
   109.5  6.4070E+08   1.17300   1.44100
   110.5  6.8970E+08   1.17300   1.44100
   111.5  7.1770E+08   1.10000   1.17100
   112.5  6.8630E+08   1.18800   1.49600
   113.5  6.2140E+08   1.10000   1.17100
   114.5  4.2430E+08   1.10000   1.17100
   115.5  7.0340E+08   1.10000   1.17100
   116.5  8.0170E+08   1.10000   1.17100
   117.5  2.9710E+09   1.19200   1.51300
   118.5  9.1820E+08   1.10000   1.17100
   119.5  2.8071E+09   1.14632   1.38126
   120.5  7.5098E+09   1.24832   1.72607
   121.5  3.7878E+11   1.19832   1.62221
   122.5  3.1539E+09   1.14120   1.33160
   123.5  2.2208E+09   1.22592   1.36838
   124.5  1.7017E+09   1.18335   1.36999
   125.5  1.6568E+09   1.13765   1.32609
   126.5  2.2849E+09   1.18168   1.50793
   127.5  1.3204E+09   1.15569   1.29534
   128.5  1.1045E+09   1.14671   1.26306
   129.5  1.2417E+09   1.18873   1.38672
   130.5  1.0390E+10   1.14307   1.29742
   131.5  1.7814E+09   1.09495   1.20323
   132.5  1.3404E+09   1.13480   1.25914
   133.5  1.1224E+10   1.21262   1.59047
   134.5  1.2081E+09   1.10509   1.26806
   135.5  2.8044E+09   1.10661   1.24545
   136.5  1.8111E+09   1.11467   1.27392
   137.5  1.9615E+09   1.10766   1.25018
   138.5  1.9821E+09   1.09252   1.22204
   139.5  4.9894E+09   1.21015   1.60873
   140.5  4.4585E+09   1.16060   1.44128
   141.5  2.9025E+09   1.08976   1.22454
   142.5  3.1933E+09   1.08820   1.20024
   143.5  3.7330E+09   1.09759   1.20905
   144.5  3.6645E+09   1.09485   1.20517
   145.5  3.9840E+09   1.09406   1.19608
   146.5  4.9856E+09   1.10022   1.19636
   147.5  6.3491E+09   1.07599   1.15587
   148.5  6.5038E+09   1.08434   1.16003
   149.5  5.9024E+09   1.08216   1.16062
   150.5  6.6455E+09   1.07497   1.15337
   151.5  7.2318E+09   1.07532   1.15316
   152.5  8.9736E+09   1.09579   1.19989
   153.5  1.0121E+10   1.09865   1.18147
   154.5  1.7200E+10   1.14884   1.29982
   155.5  1.4786E+10   1.11634   1.22427
   156.5  1.5472E+10   1.07400   1.15228
   157.5  1.4082E+10   1.05995   1.15051
   158.5  1.3677E+10   1.05893   1.14336
   159.5  1.3880E+10   1.05567   1.12398
   160.5  1.5587E+10   1.06022   1.13975
   161.5  1.8448E+10   1.04830   1.13244
   162.5  2.1288E+10   1.05551   1.13529
   163.5  2.3291E+10   1.05504   1.15356
   164.5  2.5913E+10   1.09739   1.16754
   165.5  4.1666E+10   1.08192   1.11750
   166.5  2.9893E+10   1.03683   1.07216
   167.5  3.4693E+10   1.06685   1.12035
   168.5  3.9932E+10   1.03963   1.06119
   169.5  5.2455E+10   1.04299   1.06832
   170.5  6.0604E+10   1.04183   1.08250
   171.5  6.0356E+10   1.04763   1.11041
   172.5  6.6106E+10   1.04208   1.09210
   173.5  6.7349E+10   1.04169   1.07320
   174.5  8.3398E+10   1.04188   1.06799
   175.5  1.0324E+11   1.04317   1.07003
   176.5  1.1285E+11   1.03891   1.06249
   177.5  1.3634E+11   1.04299   1.07150
   178.5  1.5285E+11   1.04140   1.07177
   179.5  1.4989E+11   1.04305   1.07789
   180.5  1.7829E+11   1.05878   1.10039
   181.5  2.1241E+11   1.07034   1.13451
   182.5  2.0420E+11   1.04189   1.08036
   183.5  2.1900E+11   1.04224   1.08484
   184.5  1.8859E+11   1.03267   1.08215
   185.5  2.1707E+11   1.03522   1.07953
   186.5  2.4943E+11   1.03778   1.08420
   187.5  2.9148E+11   1.03439   1.07980
   188.5  3.1077E+11   1.03782   1.07782
   189.5  3.5084E+11   1.03499   1.08509
   190.5  3.6790E+11   1.03493   1.06911
   191.5  4.0549E+11   1.03387   1.07329
   192.5  4.3553E+11   1.03370   1.07543
   193.5  3.3288E+11   1.02885   1.06689
   194.5  5.5743E+11   1.03511   1.07307
   195.5  5.4610E+11   1.03375   1.07397
   196.5  6.2232E+11   1.03506   1.07022
   197.5  6.3438E+11   1.03285   1.06974
   198.5  6.4495E+11   1.03077   1.06316
   199.5  7.0448E+11   1.03087   1.06163
   200.5  7.7715E+11   1.03149   1.06065
   201.5  8.6914E+11   1.03350   1.06028
   202.5  8.6871E+11   1.03223   1.05744
   203.5  1.0049E+12   1.03158   1.05907
   204.5  1.1180E+12   1.03339   1.06162
   205.5  1.1624E+12   1.03171   1.06354
   206.5  1.1985E+12   1.03140   1.06442
   207.5  1.4013E+12   1.03361   1.06977
   208.5  1.5981E+12   1.02827   1.05598
   209.5  2.3283E+12   1.01862   1.03833
   210.5  3.1248E+12   1.01563   1.04558
   211.5  3.8467E+12   1.01586   1.03802
   212.5  3.5196E+12   1.01293   1.03295
   213.5  3.3577E+12   1.01338   1.04197
   214.5  4.7523E+12   1.01323   1.03867
   215.5  3.8865E+12   1.01135   1.04472
   216.5  3.6712E+12   1.01347   1.04047
   217.5  3.6321E+12   1.01623   1.04656
   218.5  5.2984E+12   1.01221   1.04070
   219.5  5.4724E+12   1.01673   1.04364
   220.5  5.6618E+12   1.01195   1.03551
   221.5  3.9329E+12   1.01325   1.04240
   222.5  5.7993E+12   1.01305   1.03280
   223.5  7.6788E+12   1.01137   1.02863
   224.5  6.8984E+12   1.01000   1.02423
   225.5  6.0894E+12   1.01188   1.02879
   226.5  4.4699E+12   1.01636   1.03740
   227.5  4.3296E+12   1.01567   1.03017
   228.5  6.4542E+12   1.01198   1.02578
   229.5  5.5942E+12   1.01077   1.02212
   230.5  6.7526E+12   1.01345   1.03093
   231.5  5.6250E+12   1.01478   1.03399
   232.5  6.3526E+12   1.01376   1.03165
   233.5  5.2876E+12   1.01300   1.02990
   234.5  4.2355E+12   1.01556   1.03579
   235.5  6.9457E+12   1.01229   1.02826
   236.5  5.4587E+12   1.01562   1.03592
   237.5  6.6645E+12   1.01250   1.02875
   238.5  4.5056E+12   1.01722   1.03961
   239.5  5.5042E+12   1.01457   1.03351
   240.5  5.0236E+12   1.01461   1.03359
   241.5  6.0748E+12   1.01317   1.03029
   242.5  9.3093E+12   1.00957   1.02201
   243.5  8.2728E+12   1.00999   1.02298
