 1240 lines : MEGS A2 responsivity (electrons / photons) : includes Filter transmission & CCD response
 3 columns : Wavelength (nm), A2-Primary Filter (92 Al/ 24 Ge/ 32 C),  A2-Second Order Filter (170 Al/ 283 Mg/ 19 C)
      18.7500      3.91364    0.0161925
      18.8500      3.87570    0.0167361
      18.9500      3.83776    0.0172796
      19.0500      3.79983    0.0178232
      19.1500      3.76203    0.0183701
      19.2500      3.72586    0.0189567
      19.3500      3.68969    0.0195433
      19.4500      3.65353    0.0201299
      19.5500      3.61736    0.0207164
      19.6500      3.58120    0.0213030
      19.7500      3.54856    0.0219378
      19.8500      3.51630    0.0225778
      19.9500      3.48405    0.0232177
      20.0500      3.45179    0.0238577
      20.1500      3.41953    0.0244977
      20.2500      3.39147    0.0255371
      20.3500      3.36638    0.0268604
      20.4500      3.34129    0.0281836
      20.5500      3.31621    0.0295069
      20.6500      3.29112    0.0308302
      20.7500      3.26687    0.0323119
      20.8500      3.24855    0.0349245
      20.9500      3.23023    0.0375371
      21.0500      3.21192    0.0401497
      21.1500      3.19360    0.0427623
      21.2500      3.17528    0.0453748
      21.3500      3.15415    0.0482766
      21.4500      3.13037    0.0514506
      21.5500      3.10658    0.0546245
      21.6500      3.08280    0.0577985
      21.7500      3.05902    0.0609725
      21.8500      3.03523    0.0641464
      21.9500      3.00912    0.0677208
      22.0500      2.98225    0.0714259
      22.1500      2.95538    0.0751310
      22.2500      2.92850    0.0788361
      22.3500      2.90163    0.0825412
      22.4500      2.87476    0.0862463
      22.5500      2.85081    0.0905526
      22.6500      2.82742    0.0949739
      22.7500      2.80403    0.0993953
      22.8500      2.78064     0.103817
      22.9500      2.75725     0.108238
      23.0500      2.73385     0.112659
      23.1500      2.70929     0.117432
      23.2500      2.68435     0.122316
      23.3500      2.65941     0.127200
      23.4500      2.63447     0.132083
      23.5500      2.60953     0.136967
      23.6500      2.58459     0.141851
      23.7500      2.55942     0.146891
      23.8500      2.53404     0.152075
      23.9500      2.50866     0.157259
      24.0500      2.48328     0.162443
      24.1500      2.45790     0.167628
      24.2500      2.43252     0.172812
      24.3500      2.40723     0.178015
      24.4500      2.38270     0.183369
      24.5500      2.35817     0.188723
      24.6500      2.33364     0.194077
      24.7500      2.30911     0.199431
      24.8500      2.28458     0.204785
      24.9500      2.26005     0.210139
      25.0500      2.23725     0.388634
      25.1500      2.21601     0.723660
      25.2500      2.19477      1.05869
      25.3500      2.17353      1.39371
      25.4500      2.15229      1.72874
      25.5500      2.13105      2.06376
      25.6500      2.10981      2.39879
      25.7500      2.09413      2.45876
      25.8500      2.08017      2.43387
      25.9500      2.06621      2.40898
      26.0500      2.05225      2.38409
      26.1500      2.03829      2.35920
      26.2500      2.02433      2.33431
      26.3500      2.01037      2.30942
      26.4500      1.99634      2.28666
      26.5500      1.98230      2.26435
      26.6500      1.96825      2.24205
      26.7500      1.95421      2.21974
      26.8500      1.94016      2.19744
      26.9500      1.92612      2.17514
      27.0500      1.91208      2.15283
      27.1500      1.89526      2.12997
      27.2500      1.87721      2.10686
      27.3500      1.85916      2.08375
      27.4500      1.84111      2.06063
      27.5500      1.82306      2.03752
      27.6500      1.80501      2.01441
      27.7500      1.78696      1.99130
      27.8500      1.76869      1.96841
      27.9500      1.75003      1.94591
      28.0500      1.73136      1.92340
      28.1500      1.71270      1.90090
      28.2500      1.69404      1.87839
      28.3500      1.67538      1.85589
      28.4500      1.65671      1.83338
      28.5500      1.63805      1.81087
      28.6500      1.62037      1.79088
      28.7500      1.60287      1.77136
      28.8500      1.58536      1.75184
      28.9500      1.56786      1.73231
      29.0500      1.55036      1.71279
      29.1500      1.53286      1.69327
      29.2500      1.51536      1.67375
      29.3500      1.49799      1.65458
      29.4500      1.48163      1.63819
      29.5500      1.46527      1.62179
      29.6500      1.44892      1.60539
      29.7500      1.43256      1.58900
      29.8500      1.41620      1.57260
      29.9500      1.39984      1.55620
      30.0500      1.38349      1.53980
      30.1500      1.36728      1.52360
      30.2500      1.35172      1.50823
      30.3500      1.33616      1.49286
      30.4500      1.32060      1.47749
      30.5500      1.30504      1.46212
      30.6500      1.28948      1.44674
      30.7500      1.27392      1.43137
      30.8500      1.25836      1.41600
      30.9500      1.24283      1.40067
      31.0500      1.22798      1.38642
      31.1500      1.21312      1.37217
      31.2500      1.19827      1.35792
      31.3500      1.18342      1.34367
      31.4500      1.16857      1.32941
      31.5500      1.15372      1.31516
      31.6500      1.13886      1.30091
      31.7500      1.12401      1.28666
      31.8500      1.11028      1.27348
      31.9500      1.09713      1.26085
      32.0500      1.08397      1.24822
      32.1500      1.07082      1.23559
      32.2500      1.05766      1.22296
      32.3500      1.04451      1.21032
      32.4500      1.03136      1.19769
      32.5500      1.01820      1.18506
      32.6500      1.00503      1.17246
      32.7500     0.991553      1.16029
      32.8500     0.978080      1.14813
      32.9500     0.964607      1.13596
      33.0500     0.951133      1.12379
      33.1500     0.937660      1.11162
      33.2500     0.924187      1.09945
