 301 lines  : Si QE model (Henke constants and IRD Si diode measurements)  T. Woods 9/21/04
 3 columns :  Wavelength_nm  IRD_Si_QE_%  Si_QE_25nm_dead_layer_%
      6.94315      82.1187      50.3880
      7.13086      78.9130      47.6120
      7.32380      75.7994      45.1867
      7.52199      75.8959      45.2697
      7.72543      75.8882      45.3748
      7.93408      76.7677      45.9536
      8.14895      78.1974      46.7779
      8.36900      79.5352      46.6493
      8.59590      80.6705      46.2591
      8.82789      81.7755      45.7973
      9.06677      82.3298      45.6890
      9.31195      81.3748      45.0840
      9.56411      80.6000      45.3515
      9.82252      80.8112      46.2884
      10.0887      80.9207      47.8644
      10.3611      80.9168      50.2770
      10.6412      80.7979      52.6561
      10.9292      80.5866      54.8158
      11.2251      80.2337      56.0289
      11.5289      79.7315      57.0332
      11.8405      80.7266      59.0340
      12.1611      82.2039      61.3436
      12.4894      83.6777      63.6115
      12.8272      84.5870      79.4797
      13.1741      85.1854      79.7585
      13.5304      85.6971      79.9753
      13.8964      85.7678      79.7989
      14.2722      85.6282      79.4171
      14.6583      85.2276      78.7846
      15.0548      83.9512      77.3371
      15.4620      82.4427      75.6742
      15.8802      82.0863      75.0685
      16.3097      82.3053      75.0034
      16.7509      81.9440      74.4042
      17.2040      80.4643      72.7858
      17.6691      79.3851      71.5284
      18.1471      79.2843      71.1449
      18.6379      78.9670      70.5575
      19.1421      78.2614      69.6160
      19.6597      77.5939      68.7055
      20.1915      77.2575      68.0839
      20.7377      77.4162      67.8877
      21.2985      78.3458      68.3506
      21.8746      78.4665      68.0905
      22.4661      78.0440      67.3475
      23.0741      77.8596      66.7994
      23.6982      77.5137      66.1019
      24.3389      76.8996      65.1668
      24.9975      76.1565      64.1151
      25.6736      75.5926      63.2301
      26.3676      75.9104      63.1750
      27.0807      76.0913      63.0370
      27.8134      75.7502      62.4594
      28.5658      75.2686      61.7614
      29.3385      75.1898      61.3884
      30.1315      75.7422      61.5207
      30.9469      76.2293      61.5870
      31.7839      76.4610      61.4355
      32.6434      76.5860      61.1878
      33.5262      76.3493      60.6723
      34.4332      75.7961      59.9733
      35.3644      75.5413      59.6045
      36.3208      75.8983      59.7233
      37.3033      76.1727      59.7731
      38.3120      76.3573      59.7567
      39.3481      76.3841      59.5975
      40.4127      76.1743      59.2463
      41.5060      75.7109      58.6055
      42.6292      74.9456      57.6679
      43.7809      74.3080      56.7871
      44.9655      73.6574      55.8936
      46.1816      73.5640      55.3809
      47.4308      73.3760      54.7084
      48.7131      73.0640      53.9249
      50.0323      72.5257      52.8546
      51.3844      71.8093      51.4925
      52.7734      70.2226      49.4948
      54.2016      68.0763      47.0044
      55.6668      65.9009      44.4833
      57.1738      63.8014      42.0625
      58.7202      61.9136      39.5404
      60.3084      61.3442      37.5727
      61.9385      59.5225      34.8269
      63.6135      56.8408      31.7264
      65.3368      54.0964      28.7231
      67.1015      51.4549      26.2215
      68.9182      48.8460      23.5224
      70.7793      46.4493      20.5077
      72.6969      44.2477      18.0164
      74.6627      42.6458      15.9994
      76.6809      41.0550      14.0313
      78.7561      39.9689      12.2811
      80.8834      38.5387      10.3324
      83.0731      37.0104      8.28402
      85.3200      35.9548      6.80459
      87.6299      34.9366      5.53671
      89.9964      34.3686      4.82800
      92.4322      34.0600      4.42744
      94.9307      33.3383      4.07094
      97.4990      32.5081      3.77324
      100.137      31.5638      3.60188
      102.846      30.6921      3.52261
      105.623      31.7715      3.76385
      108.479      32.8937      3.96676
      111.414      34.0600      4.12654
      114.427      35.2626      3.84791
      117.529      36.1611      3.53460
      120.711      38.8824      3.38658
      123.970      40.5444      3.13012
