           eV         A/W                %
        50.5714   -4.93664E-06        1807.60
        52.7234    5.30915E-06        1191.40
        55.0667    6.38025E-06        733.300
        57.6279    1.41393E-05        234.000
        60.4390    3.75906E-05        61.6000
        63.5385    8.79677E-05        20.2000
        66.9730    0.000219665        7.00000
        70.8000    0.000567371        3.00000
        74.6385    0.000254853        5.90000
        79.4231    0.000552749        2.30000
        84.8630    0.000277454        2.80000
        91.1029    0.000104217        4.40000
        98.3333    6.01338E-05        5.20000
        106.810    0.000196187        2.00000
        116.887    0.000113915        18.0000
        123.900    0.000127017        12.0000
        130.421    0.000196462        8.90000
        137.667    0.000415727        5.40000
        149.277    0.000533488        5.20000
        158.846    0.000584098        6.60000
        169.726    0.000993256        4.90000
        182.206     0.00242180        3.10000
        196.667     0.00390922        4.30000
        213.621     0.00591255        6.60000
        233.774      0.0108155        6.40000
        247.800      0.0149918        5.80000
        250.000      0.0152180        1.60000
        260.000      0.0185552        1.30000
        270.000      0.0222898        1.10000
        280.000      0.0265848        1.00000
        310.000      0.0392770       0.900000
        330.000      0.0500078       0.900000
        350.000      0.0619384       0.900000
        370.000      0.0733443       0.900000
        390.000      0.0843591       0.800000
        410.000      0.0960302       0.800000
        430.000       0.107178       0.800000
        450.000       0.117777       0.800000
        490.000       0.137005       0.800000
        530.000       0.153724       0.800000
        570.000       0.153391       0.800000
        610.000      0.0730797       0.800000
        650.000      0.0844781       0.800000
        690.000      0.0937847       0.800000
        720.000      0.0969758       0.800000
        760.000       0.107348       0.900000
        800.000       0.118632       0.900000
        840.000       0.125111       0.900000
        880.000       0.134908       0.900000
        920.000       0.141546       0.900000
        1000.00       0.153301        1.30000
        1100.00       0.160353        1.40000
        1200.00       0.161187        1.50000
        1300.00       0.156696        1.60000
        1400.00       0.149370        1.80000
        1500.00       0.139831        1.90000

