           eV         A/W                %
        50.5714   -1.17937E-05        758.300
        52.7234    2.74417E-05        230.800
        55.0667    0.000212758        22.1000
        57.6279    0.000992854        3.70000
        60.4390     0.00344750        1.80000
        63.5385     0.00812770        1.60000
        66.9730      0.0157880        1.50000
        70.8000      0.0264486        1.50000
        74.6385      0.0380247        1.40000
        79.4231      0.0503606        1.30000
        84.8630      0.0604917        1.20000
        91.1029      0.0708328        1.10000
        98.3333      0.0787037        1.00000
        106.810      0.0218879        1.50000
        116.887     0.00866349        1.40000
        123.900     0.00558084        1.40000
        130.421     0.00558805        1.30000
        137.667     0.00758470        1.30000
        149.277     0.00909341        1.30000
        158.846     0.00901529        1.20000
        169.726      0.0102621        1.20000
        182.206      0.0144496        1.10000
        196.667      0.0137648        1.00000
        213.621     0.00453214        1.30000
        233.774     0.00347408        2.70000
        247.800     0.00276452        5.70000
        250.000     0.00257855        1.80000
        260.000     0.00277125        2.20000
        270.000     0.00291201        2.00000
        280.000     0.00316203        2.00000
        310.000     0.00395457        3.50000
        330.000     0.00344430        2.10000
        350.000     0.00438390        1.80000
        370.000     0.00642344        1.40000
        390.000     0.00799010        1.20000
        410.000      0.0100669        1.00000
        430.000      0.0122247       0.900000
        450.000      0.0139949       0.900000
        490.000      0.0193147        1.70000
        530.000      0.0267339        1.20000
        570.000      0.0330788        1.00000
        610.000      0.0427574       0.800000
        650.000      0.0537708       0.800000
        690.000      0.0646495       0.800000
        720.000      0.0744480       0.800000
        760.000      0.0857376       0.900000
        800.000      0.0968818       0.900000
        840.000       0.107578       0.900000
        880.000       0.117641       0.900000
        920.000       0.127017       0.900000
        1000.00       0.144115        1.30000
        1100.00       0.159841        1.40000
        1200.00       0.169495        1.50000
        1300.00       0.173265        1.60000
        1400.00       0.172192        1.80000
        1500.00       0.167411        1.90000

