           eV         A/W                %
        50.5714   -1.19454E-05        748.700
        52.7234    1.45487E-05        435.300
        55.0667    0.000184051        25.5000
        57.6279    0.000918533        4.00000
        60.4390     0.00325818        1.80000
        63.5385     0.00787390        1.60000
        66.9730      0.0154704        1.50000
        70.8000      0.0262030        1.50000
        74.6385      0.0378463        1.40000
        79.4231      0.0502309        1.30000
        84.8630      0.0603375        1.20000
        91.1029      0.0706629        1.10000
        98.3333      0.0784249        1.00000
        106.810      0.0222091        1.50000
        116.887     0.00887017        1.40000
        123.900     0.00575146        1.40000
        130.421     0.00576175        1.30000
        137.667     0.00778646        1.30000
        149.277     0.00931266        1.30000
        158.846     0.00923814        1.20000
        169.726      0.0105017        1.20000
        182.206      0.0146340        1.10000
        196.667      0.0137881        1.00000
        213.621     0.00439549        1.20000
        233.774     0.00330718        2.60000
        247.800     0.00260091        5.80000
        250.000     0.00248287        1.70000
        260.000     0.00258798        2.30000
        270.000     0.00271266        2.10000
        280.000     0.00294413        2.10000
        310.000     0.00366466        3.60000
        330.000     0.00316773        2.20000
        350.000     0.00404768        1.90000
        370.000     0.00597250        1.40000
        390.000     0.00744564        1.20000
        410.000     0.00941255        1.00000
        430.000      0.0114701       0.900000
        450.000      0.0131570       0.900000
        490.000      0.0182789        1.70000
        530.000      0.0254582        1.20000
        570.000      0.0317868        1.00000
        610.000      0.0412587       0.800000
        650.000      0.0521000       0.800000
        690.000      0.0628292       0.800000
        720.000      0.0725127       0.800000
        760.000      0.0837421       0.900000
        800.000      0.0948430       0.900000
        840.000       0.105530       0.900000
        880.000       0.115733       0.900000
        920.000       0.124929       0.900000
        1000.00       0.142030        1.30000
        1100.00       0.157641        1.40000
        1200.00       0.167066        1.50000
        1300.00       0.170516        1.60000
        1400.00       0.169052        1.80000
        1500.00       0.163989        1.90000

