 328 lines : diode.pro output for Si thickness of 5 microns and 100 microns - extended to 0.001 Angstrom
 3 columns : Wavelength (Angstrom), Response_Si_5microns (electrons/photon), Response_Si_100microns
      24.5204      125.924      125.928
      25.1833      122.518      122.520
      25.8648      119.016      119.017
      26.5642      115.421      115.421
      27.2827      112.181      112.181
      28.0209      109.570      109.570
      28.7787      106.889      106.890
      29.5568      104.137      104.137
      30.3565      101.309      101.309
      31.1772      98.4060      98.4060
      32.0204      95.4434      95.4434
      32.8868      93.2053      93.2053
      33.7765      90.9070      90.9070
      34.6895      88.5486      88.5486
      35.6277      86.1254      86.1254
      36.5920      83.6345      83.6345
      37.5815      81.4368      81.4368
      38.5983      79.4365      79.4365
      39.6425      77.3824      77.3824
      40.7140      75.2747      75.2747
      41.8154      73.1082      73.1082
      42.9467      71.2766      71.2766
      44.1080      69.4754      69.4754
      45.3007      67.6255      67.6255
      46.5266      65.7244      65.7244
      47.7837      64.3178      64.3178
      49.0776      63.2077      63.2077
      50.4046      61.8630      61.8630
      51.7685      59.9978      59.9978
      53.1672      58.1169      58.1169
      54.6051      56.4246      56.4246
      56.0823      54.6861      54.6861
      57.5989      52.9014      52.9014
      59.1573      51.8074      51.8074
      60.7577      50.9474      50.9474
      62.4000      50.0649      50.0649
      64.0904      48.0870      48.0870
      65.8224      45.4575      45.4575
      67.6028      42.7550      42.7550
      69.4315      40.1804      40.1804
      71.3086      37.5955      37.5955
      73.2380      35.1607      35.1607
      75.2199      34.2779      34.2779
      77.2543      33.3718      33.3718
      79.3408      32.8709      32.8709
      81.4895      32.6001      32.6001
      83.6900      32.2860      32.2860
      85.9590      31.8825      31.8825
      88.2789      31.4699      31.4699
      90.6677      30.8484      30.8484
      93.1195      29.6878      29.6878
      95.6411      28.6299      28.6299
      98.2252      27.9497      27.9497
      100.887      27.2492      27.2492
      103.611      26.5316      26.5316
      106.412      25.7952      25.7952
      109.292      25.0497      25.0497
      112.251      24.2826      24.2826
      115.289      23.4948      23.4948
      118.405      23.1620      23.1620
      121.611      22.9641      22.9641
      124.894      22.7613      22.7613
      128.272      22.4027      22.4165
      131.741      21.9671      21.9754
      135.304      21.5171      21.5225
      138.964      20.9677      20.9715
      142.722      20.3823      20.3849
      146.583      19.7526      19.7543
      150.548      18.9444      18.9456
      154.620      18.1140      18.1147
      158.802      17.5608      17.5613
      163.097      17.1439      17.1443
      167.509      16.6191      16.6193
      172.040      15.8893      15.8894
      176.691      15.2635      15.2636
      181.471      14.8426      14.8426
      186.379      14.3939      14.3939
      191.421      13.8895      13.8895
      196.597      13.4085      13.4085
      201.915      12.9987      12.9987
      207.377      12.6824      12.6824
      212.985      12.4967      12.4967
      218.746      12.1863      12.1863
      224.661      11.8016      11.8016
      230.741      11.4635      11.4635
      236.982      11.1120      11.1120
      243.389      10.7338      10.7338
      249.975      10.3500      10.3500
      256.736      10.0028      10.0028
      263.676      9.78046      9.78046
      270.807      9.54562      9.54562
      278.134      9.25247      9.25247
      285.658      8.95150      8.95150
      293.385      8.70661      8.70661
      301.315      8.53977      8.53977
      309.469      8.36824      8.36824
      317.839      8.17263      8.17263
      326.434      7.97043      7.97043
      335.262      7.73658      7.73658
      344.332      7.47821      7.47821
      353.644      7.25683      7.25683
      363.208      7.09914      7.09914
      373.033      6.93715      6.93715
      383.120      6.77087      6.77087
      393.481      6.59490      6.59490
      404.127      6.40353      6.40353
      415.060      6.19693      6.19693
      426.292      5.97266      5.97266
      437.809      5.76607      5.76607
      449.655      5.56500      5.56500
      461.816      5.41159      5.41159
      474.308      5.25559      5.25559
      487.131      5.09550      5.09550
      500.323      4.92459      4.92459
      513.844      4.74765      4.74765
      527.734      4.52054      4.52054
      542.016      4.26690      4.26690
      556.668      4.02183      4.02183
      571.738      3.79107      3.79107
      587.202      3.58202      3.58202
      603.084      3.45561      3.45561
      619.385      3.26474      3.26474
      636.135      3.03557      3.03557
      653.368      2.81280      2.81280
      671.015      2.60509      2.60509
      689.182      2.40782      2.40782
      707.793      2.22947      2.22947
      726.969      2.06778      2.06778
      746.627      1.94044      1.94044
      766.809      1.81890      1.81890
      787.561      1.72412      1.72412
      808.834      1.61870      1.61870
      830.731      1.51353      1.51353
      853.200      1.43164      1.43164
      876.299      1.35443      1.35443
      899.964      1.29737      1.29737
      924.322      1.25184      1.25184
      949.307      1.19307      1.19307
      974.990      1.13271      1.13271
      1001.37      1.07083      1.07083
      1028.46      1.01384      1.01384
      1056.23      1.02190      1.02190
      1084.79      1.03014      1.03014
      1114.14      1.03857      1.03857
      1144.27      1.04692      1.04692
      1175.29      1.04526      1.04526
      1207.11      1.09430      1.09430
      1239.70      1.11107      1.11107
