 301 lines : R-XRS: A1 Be 48 micron, A2 Be 470 micron, B1 Al/C 250/110 nm, B2 Be 6.0 micron
 5 columns : Wavelength Sensitivity (electron/photon) and with Si=50 microns
     0.889375      48.2075  1.34560e-06      331.309      272.241
     0.913425      39.8053  2.63806e-07      320.917      259.376
     0.938172      32.3649  4.51676e-08      310.212      246.264
     0.963547      25.8898  6.69614e-09      299.237      232.978
     0.989622      20.3436  8.48039e-10      287.979      219.537
      1.01631      15.8924  9.20131e-11      280.124      208.736
      1.04387      12.1825  8.29106e-12      272.387      198.009
      1.07203      9.14727  6.15466e-13      264.478      187.179
      1.10107      6.70962  3.67669e-14      256.338      176.223
      1.13080      4.80081  1.74082e-15      248.019      165.216
      1.16142      3.34342  6.40898e-17      239.479      154.173
      1.19282      2.26226  1.80269e-18      230.756      143.162
      1.22512      1.48221  3.75517e-20      221.883      132.206
      1.25825     0.937048  5.59926e-22      212.811      121.357
      1.29228     0.572525  5.84580e-24      204.472      111.171
      1.32723     0.339982  4.30491e-26      197.882      102.189
      1.36313     0.194833  2.25893e-28      191.142      93.4270
      1.40000     0.107299  8.11269e-31      184.255      84.9056
      1.43787    0.0563089  1.83708e-33      177.222      76.6124
      1.47677    0.0278986  2.39779e-36      170.053      68.5512
      1.51669    0.0130077  1.74871e-39      162.762      60.7956
      1.55773   0.00569375  6.97847e-43      155.346      53.4176
      1.59986   0.00233290      0.00000      147.827      46.4775
      1.64312  0.000892885      0.00000      140.234      40.0299
      1.68756  0.000318275      0.00000      133.395      34.2959
      1.73322  0.000105086      0.00000      127.437      29.2523
      1.78010  3.36446e-05      0.00000      121.812      24.8746
      1.82825  1.02366e-05      0.00000      116.218      20.9971
      1.87768  2.51229e-06      0.00000      110.334      17.2351
      1.92847  5.32110e-07      0.00000      104.343      13.8726
      1.98064  1.05564e-07      0.00000      98.3987      11.0615
      2.03420  1.91510e-08      0.00000      92.4904      8.71034
      2.08922  3.04568e-09      0.00000      86.5846      6.73695
      2.14574  4.17568e-10      0.00000      80.7067      5.10660
      2.20375  4.82834e-11      0.00000      74.9523      3.78535
      2.26338  4.92354e-12      0.00000      70.1799      2.78750
      2.32458  4.46859e-13      0.00000      66.2458      2.04194
      2.38748  3.28578e-14      0.00000      61.5628      1.44127
      2.45204  1.94810e-15      0.00000      56.9357     0.989160
      2.51833  9.26088e-17      0.00000      52.4290     0.659540
      2.58648  3.46748e-18      0.00000      48.0469     0.426230
      2.65642  1.00621e-19      0.00000      43.7984     0.266417
      2.72827  2.23314e-21      0.00000      39.8443     0.161341
      2.80209  3.76060e-23      0.00000      36.2605    0.0947973
      2.87787  4.64895e-25      0.00000      32.8628    0.0535284
      2.95568  4.10180e-27      0.00000      29.6690    0.0289429
      3.03565  2.50153e-29      0.00000      26.6135    0.0149237
      3.11772  1.04466e-31      0.00000      23.7122   0.00732910
      3.20204  3.49118e-34      0.00000      20.9777   0.00349570
      3.28868  9.23699e-37      0.00000      18.5838   0.00162895
      3.37765  1.64738e-39      0.00000      16.4006  0.000721714
      3.46895  1.86933e-42      0.00000      14.3420  0.000301810
      3.56277  1.40130e-45      0.00000      12.3633  0.000118551
      3.65920      0.00000      0.00000      10.5532  4.35409e-05
      3.75815      0.00000      0.00000      8.95576  1.49527e-05
      3.85983      0.00000      0.00000      7.54386  4.77100e-06
      3.96425      0.00000      0.00000      6.28450  1.39748e-06
      4.07140      0.00000      0.00000      5.17366  3.67933e-07
      4.18154      0.00000      0.00000      4.20532  8.75068e-08
      4.29467      0.00000      0.00000      3.39120  1.88391e-08
      4.41080      0.00000      0.00000      8.07622  3.63059e-09
      4.53007      0.00000      0.00000      6.76449  6.20355e-10
      4.65266      0.00000      0.00000      5.64125  9.31317e-11
      4.77837      0.00000      0.00000      4.82000  1.22718e-11
      4.90776      0.00000      0.00000      4.11721  1.39799e-12
      5.04046      0.00000      0.00000      3.47699  1.35825e-13
      5.17685      0.00000      0.00000      2.88900  1.14478e-14
      5.31672      0.00000      0.00000      2.37815  1.05162e-15
      5.46051      0.00000      0.00000      1.94475  8.64468e-17
      5.60823      0.00000      0.00000      1.55117  6.07537e-18
      5.75988      0.00000      0.00000      1.19998  3.59807e-19
      5.91573      0.00000      0.00000     0.926523  1.79857e-20
      6.07577      0.00000      0.00000     0.707730  7.48175e-22
      6.24000      0.00000      0.00000     0.532556  2.54224e-23
