Henke filter constants:  transmission = exp(-thick / constant)
   where  thick is given in Angstroms
Generated by Tom Woods  12/1/93
301 lines of data x 9 columns
Wavelength  Al        C       Sc       Sn       Ti      Al2O3    SiO2      TiO
   3.141 1.02E+05 1.31E+06 2.37E+05 1.42E+04 1.41E+05 1.55E+05 1.69E+05 1.56E+05
   3.058 1.10E+05 1.42E+06 2.56E+05 1.52E+04 1.52E+05 1.67E+05 1.82E+05 1.68E+05
   2.978 1.18E+05 1.54E+06 2.76E+05 1.19E+04 1.63E+05 1.80E+05 1.97E+05 1.80E+05
   2.899 1.27E+05 1.67E+06 2.98E+05 1.27E+04 1.76E+05 1.95E+05 2.12E+05 1.94E+05
   2.823 1.37E+05 1.81E+06 3.21E+05 1.36E+04 1.89E+05 2.10E+05 2.29E+05 2.09E+05
   2.749 1.48E+05 1.97E+06 3.95E+04 1.29E+04 2.03E+05 2.27E+05 2.47E+05 2.25E+05
   2.676 1.60E+05 2.14E+06 4.21E+04 1.37E+04 2.19E+05 2.45E+05 2.67E+05 2.43E+05
   2.606 1.72E+05 2.33E+06 4.49E+04 1.46E+04 2.35E+05 2.65E+05 2.88E+05 2.62E+05
   2.537 1.86E+05 2.53E+06 4.80E+04 1.56E+04 2.53E+05 2.86E+05 3.11E+05 2.82E+05
   2.470 2.01E+05 2.75E+06 5.13E+04 1.66E+04 3.16E+04 3.09E+05 3.35E+05 4.12E+04
   2.405 2.17E+05 2.99E+06 5.48E+04 1.77E+04 3.37E+04 3.34E+05 3.62E+05 4.40E+04
   2.342 2.34E+05 3.25E+06 5.87E+04 1.90E+04 3.61E+04 3.61E+05 3.91E+05 4.71E+04
   2.280 2.53E+05 3.53E+06 6.28E+04 2.03E+04 3.85E+04 3.90E+05 4.23E+05 5.03E+04
   2.220 2.73E+05 3.84E+06 6.73E+04 2.17E+04 4.12E+04 4.21E+05 4.57E+05 5.38E+04
   2.162 2.95E+05 4.17E+06 7.21E+04 2.32E+04 4.41E+04 4.55E+05 4.93E+05 5.76E+04
   2.105 3.19E+05 4.54E+06 7.72E+04 2.48E+04 4.72E+04 4.92E+05 5.33E+05 6.17E+04
   2.049 3.44E+05 4.94E+06 8.28E+04 2.66E+04 5.06E+04 5.32E+05 5.76E+05 6.61E+04
   1.995 3.72E+05 5.37E+06 8.89E+04 2.84E+04 5.42E+04 5.76E+05 6.23E+05 7.08E+04
   1.943 4.02E+05 5.84E+06 9.53E+04 3.05E+04 5.81E+04 6.23E+05 6.73E+05 7.59E+04
   1.892 4.34E+05 6.36E+06 1.02E+05 3.27E+04 6.23E+04 6.73E+05 7.28E+05 8.15E+04
   1.842 4.69E+05 6.92E+06 1.10E+05 3.50E+04 6.68E+04 7.29E+05 7.87E+05 8.74E+04
   1.793 5.07E+05 7.54E+06 1.18E+05 3.76E+04 7.17E+04 7.88E+05 8.51E+05 9.38E+04
   1.746 5.48E+05 8.21E+06 1.27E+05 4.03E+04 7.70E+04 8.53E+05 9.20E+05 1.01E+05
   1.700 5.93E+05 8.94E+06 1.36E+05 4.32E+04 8.27E+04 9.23E+05 9.95E+05 1.08E+05
   1.655 6.41E+05 9.74E+06 1.47E+05 4.64E+04 8.88E+04 9.99E+05 1.08E+06 1.16E+05
   1.612 6.93E+05 1.06E+07 1.58E+05 4.98E+04 9.54E+04 1.08E+06 1.16E+06 1.25E+05
   1.569 7.49E+05 1.16E+07 1.70E+05 5.35E+04 1.03E+05 1.17E+06 1.26E+06 1.34E+05
   1.528 8.10E+05 1.26E+07 1.83E+05 5.75E+04 1.10E+05 1.27E+06 1.36E+06 1.45E+05
   1.488 8.76E+05 1.37E+07 1.97E+05 6.18E+04 1.19E+05 1.37E+06 1.48E+06 1.56E+05
   1.449 9.48E+05 1.50E+07 2.12E+05 6.64E+04 1.28E+05 1.48E+06 1.60E+06 1.67E+05
   1.410 1.03E+06 1.63E+07 2.28E+05 7.14E+04 1.37E+05 1.61E+06 1.73E+06 1.80E+05
   1.373 1.11E+06 1.78E+07 2.45E+05 7.67E+04 1.48E+05 1.74E+06 1.87E+06 1.94E+05
   1.337 1.20E+06 1.94E+07 2.64E+05 8.25E+04 1.59E+05 1.89E+06 2.03E+06 2.09E+05
   1.302 1.30E+06 2.12E+07 2.85E+05 8.87E+04 1.71E+05 2.04E+06 2.19E+06 2.25E+05
   1.268 1.41E+06 2.31E+07 3.07E+05 9.54E+04 1.85E+05 2.21E+06 2.37E+06 2.42E+05
   1.234 1.51E+06 2.54E+07 3.31E+05 1.03E+05 2.01E+05 2.38E+06 2.56E+06 2.64E+05
   1.202 1.62E+06 2.79E+07 3.57E+05 1.11E+05 2.18E+05 2.57E+06 2.77E+06 2.87E+05
   1.170 1.76E+06 3.04E+07 3.85E+05 1.19E+05 2.35E+05 2.78E+06 3.00E+06 3.09E+05
   1.139 1.90E+06 3.32E+07 4.15E+05 1.28E+05 2.54E+05 3.02E+06 3.25E+06 3.33E+05
   1.109 2.06E+06 3.63E+07 4.48E+05 1.38E+05 2.74E+05 3.27E+06 3.52E+06 3.59E+05
   1.080 2.23E+06 3.96E+07 4.83E+05 1.48E+05 2.95E+05 3.54E+06 3.81E+06 3.88E+05
   1.052 2.41E+06 4.33E+07 5.22E+05 1.60E+05 3.18E+05 3.84E+06 4.13E+06 4.18E+05
   1.024 2.61E+06 4.73E+07 5.63E+05 1.72E+05 3.43E+05 4.16E+06 4.47E+06 4.51E+05
   0.997 2.83E+06 5.17E+07 6.08E+05 1.85E+05 3.70E+05 4.52E+06 4.85E+06 4.87E+05
   0.971 3.07E+06 5.65E+07 6.56E+05 1.99E+05 4.00E+05 4.90E+06 5.26E+06 5.25E+05
   0.945 3.32E+06 6.17E+07 7.08E+05 2.15E+05 4.31E+05 5.31E+06 5.70E+06 5.67E+05
   0.920 3.60E+06 6.75E+07 7.65E+05 2.31E+05 4.66E+05 5.76E+06 6.18E+06 6.12E+05
   0.896 3.90E+06 7.38E+07 8.26E+05 2.49E+05 5.03E+05 6.25E+06 6.70E+06 6.61E+05
   0.872 4.23E+06 8.07E+07 8.93E+05 2.68E+05 5.43E+05 6.78E+06 7.26E+06 7.14E+05
   0.849 4.59E+06 8.82E+07 9.64E+05 2.89E+05 5.86E+05 7.35E+06 7.87E+06 7.71E+05
   0.827 4.97E+06 9.65E+07 1.04E+06 3.11E+05 6.33E+05 7.98E+06 8.54E+06 8.33E+05
   0.805 5.39E+06 1.06E+08 1.13E+06 3.35E+05 6.84E+05 8.66E+06 9.26E+06 9.00E+05
   0.784 5.85E+06 1.15E+08 1.22E+06 3.61E+05 7.39E+05 9.40E+06 1.00E+07 9.72E+05
   0.763 6.34E+06 1.26E+08 1.32E+06 3.88E+05 7.98E+05 1.02E+07 1.09E+07 1.05E+06
   0.743 6.88E+06 1.38E+08 1.42E+06 4.18E+05 8.62E+05 1.11E+07 1.18E+07 1.14E+06
   0.724 7.46E+06 1.51E+08 1.54E+06 4.51E+05 9.32E+05 1.20E+07 1.28E+07 1.23E+06
   0.705 8.10E+06 1.65E+08 1.66E+06 4.85E+05 1.01E+06 1.31E+07 1.39E+07 1.33E+06
   0.686 8.79E+06 1.81E+08 1.80E+06 5.23E+05 1.09E+06 1.42E+07 1.51E+07 1.43E+06
   0.668 9.54E+06 1.98E+08 1.94E+06 5.63E+05 1.18E+06 1.54E+07 1.64E+07 1.55E+06
   0.650 1.04E+07 2.16E+08 2.10E+06 6.06E+05 1.27E+06 1.67E+07 1.78E+07 1.68E+06
   0.633 1.12E+07 2.36E+08 2.27E+06 6.53E+05 1.38E+06 1.82E+07 1.94E+07 1.81E+06
   0.617 1.22E+07 2.57E+08 2.46E+06 7.03E+05 1.49E+06 1.98E+07 2.10E+07 1.96E+06
   0.600 1.33E+07 2.82E+08 2.66E+06 7.57E+05 1.61E+06 2.15E+07 2.28E+07 2.12E+06
   0.585 1.44E+07 3.09E+08 2.88E+06 8.15E+05 1.74E+06 2.33E+07 2.48E+07 2.29E+06
   0.569 1.57E+07 3.38E+08 3.12E+06 8.78E+05 1.88E+06 2.54E+07 2.69E+07 2.48E+06
   0.554 1.70E+07 3.71E+08 3.37E+06 9.45E+05 2.04E+06 2.76E+07 2.93E+07 2.68E+06
   0.540 1.85E+07 4.06E+08 3.65E+06 1.02E+06 2.20E+06 3.00E+07 3.18E+07 2.90E+06
   0.525 2.01E+07 4.45E+08 3.95E+06 1.10E+06 2.38E+06 3.26E+07 3.45E+07 3.14E+06
   0.512 2.18E+07 4.87E+08 4.28E+06 1.18E+06 2.58E+06 3.54E+07 3.75E+07 3.40E+06
   0.498 2.37E+07 5.34E+08 4.63E+06 1.27E+06 2.79E+06 3.85E+07 4.08E+07 3.68E+06
   0.485 2.58E+07 5.85E+08 5.02E+06 1.37E+06 3.02E+06 4.19E+07 4.43E+07 3.98E+06
   0.472 2.80E+07 6.40E+08 5.43E+06 1.47E+06 3.27E+06 4.56E+07 4.81E+07 4.31E+06
   0.460 3.05E+07 7.01E+08 5.88E+06 1.58E+06 3.54E+06 4.96E+07 5.23E+07 4.67E+06
   0.448 3.31E+07 7.67E+08 6.37E+06 1.70E+06 3.83E+06 5.39E+07 5.69E+07 5.06E+06
   0.436 3.60E+07 8.39E+08 6.90E+06 1.83E+06 4.15E+06 5.86E+07 6.18E+07 5.47E+06
   0.424 3.91E+07 9.19E+08 7.48E+06 3.40E+05 4.50E+06 6.38E+07 6.72E+07 5.93E+06
   0.413 4.26E+07 1.01E+09 8.10E+06 3.41E+05 4.87E+06 6.94E+07 7.31E+07 6.42E+06
