Henke filter constants:  transmission = exp(-thick / constant)
   where  thick is given in Angstroms
Generated by Tom Woods  12/1/93
301 lines of data x 9 columns
Wavelength  Al        C       Sc       Sn       Ti      Al2O3    SiO2      TiO
 317.839 3.00E+03 2.95E+02 6.59E+01 2.44E+02 1.19E+02 2.33E+02 2.52E+02 1.00E+02
 309.469 3.03E+03 3.14E+02 6.76E+01 2.31E+02 1.10E+02 2.41E+02 2.60E+02 9.65E+01
 301.315 3.06E+03 3.35E+02 7.34E+01 2.18E+02 1.03E+02 2.49E+02 2.70E+02 9.31E+01
 293.385 3.10E+03 3.58E+02 8.03E+01 2.06E+02 9.56E+01 2.58E+02 2.79E+02 8.97E+01
 285.658 3.13E+03 3.82E+02 8.78E+01 1.94E+02 9.04E+01 2.67E+02 2.89E+02 8.70E+01
 278.134 3.16E+03 4.08E+02 1.06E+02 1.83E+02 8.81E+01 2.77E+02 2.99E+02 8.63E+01
 270.807 3.20E+03 4.33E+02 1.23E+02 1.73E+02 8.75E+01 2.87E+02 3.10E+02 8.66E+01
 263.676 3.24E+03 4.57E+02 1.43E+02 1.63E+02 8.82E+01 2.97E+02 3.21E+02 8.80E+01
 256.736 3.30E+03 4.82E+02 1.73E+02 1.53E+02 9.10E+01 3.07E+02 3.32E+02 9.09E+01
 249.975 3.38E+03 5.09E+02 2.10E+02 1.45E+02 9.52E+01 3.21E+02 3.46E+02 9.50E+01
 243.389 3.45E+03 5.37E+02 2.54E+02 1.39E+02 1.01E+02 3.36E+02 3.63E+02 1.01E+02
 236.982 3.53E+03 5.66E+02 3.16E+02 1.33E+02 1.14E+02 3.51E+02 3.80E+02 1.11E+02
 230.741 3.61E+03 5.96E+02 3.83E+02 1.27E+02 1.28E+02 3.68E+02 3.98E+02 1.23E+02
 224.661 3.69E+03 6.23E+02 4.62E+02 1.23E+02 1.45E+02 3.85E+02 4.16E+02 1.36E+02
 218.746 3.83E+03 6.52E+02 5.41E+02 1.19E+02 1.65E+02 4.03E+02 4.36E+02 1.50E+02
 212.985 3.98E+03 6.81E+02 6.22E+02 1.15E+02 1.87E+02 4.22E+02 4.57E+02 1.67E+02
 207.377 4.12E+03 7.12E+02 7.84E+02 1.14E+02 2.15E+02 4.42E+02 4.78E+02 1.85E+02
 201.915 4.28E+03 7.46E+02 8.72E+02 1.14E+02 2.48E+02 4.63E+02 5.01E+02 2.07E+02
 196.597 4.44E+03 7.90E+02 9.47E+02 1.14E+02 2.85E+02 4.85E+02 5.24E+02 2.29E+02
 191.421 4.61E+03 8.36E+02 9.92E+02 1.14E+02 3.24E+02 5.09E+02 5.49E+02 2.52E+02
 186.379 4.79E+03 8.85E+02 1.04E+03 1.14E+02 3.67E+02 5.33E+02 5.75E+02 2.76E+02
 181.471 4.99E+03 9.36E+02 1.07E+03 1.14E+02 4.08E+02 5.58E+02 6.02E+02 2.99E+02
 176.691 5.17E+03 9.91E+02 1.10E+03 1.14E+02 4.38E+02 5.85E+02 6.30E+02 3.17E+02
 172.040 5.32E+03 1.05E+03 1.10E+03 1.15E+02 4.68E+02 6.12E+02 6.59E+02 3.36E+02
 167.509 5.41E+02 1.11E+03 1.11E+03 1.16E+02 4.97E+02 4.09E+02 6.90E+02 3.55E+02
 163.097 5.09E+02 1.17E+03 1.12E+03 1.17E+02 5.18E+02 4.10E+02 7.22E+02 3.71E+02
 158.802 4.78E+02 1.24E+03 1.13E+03 1.20E+02 5.39E+02 4.09E+02 7.55E+02 3.87E+02
 154.620 4.49E+02 1.32E+03 1.14E+03 1.22E+02 5.55E+02 4.08E+02 7.91E+02 4.01E+02
 150.548 4.22E+02 1.39E+03 1.15E+03 1.26E+02 5.70E+02 4.05E+02 8.28E+02 4.16E+02
 146.583 3.96E+02 1.47E+03 1.16E+03 1.30E+02 5.85E+02 4.01E+02 8.67E+02 4.31E+02
 142.722 3.76E+02 1.56E+03 1.17E+03 1.35E+02 5.94E+02 3.97E+02 9.08E+02 4.44E+02
 138.964 3.69E+02 1.65E+03 1.17E+03 1.40E+02 6.03E+02 4.01E+02 9.51E+02 4.56E+02
 135.304 3.63E+02 1.75E+03 1.18E+03 1.47E+02 6.12E+02 4.05E+02 9.95E+02 4.70E+02
 131.741 3.57E+02 1.85E+03 1.20E+03 1.55E+02 6.21E+02 4.08E+02 1.04E+03 4.83E+02
 128.272 3.51E+02 1.96E+03 1.22E+03 1.63E+02 6.31E+02 4.12E+02 1.09E+03 4.97E+02
 124.894 3.45E+02 2.07E+03 1.24E+03 1.72E+02 6.48E+02 4.15E+02 7.79E+02 5.15E+02
 121.611 3.40E+02 2.19E+03 1.27E+03 1.81E+02 6.67E+02 4.19E+02 7.83E+02 5.36E+02
 118.405 3.35E+02 2.32E+03 1.30E+03 2.02E+02 6.85E+02 4.24E+02 7.84E+02 5.58E+02
 115.289 3.31E+02 2.45E+03 1.33E+03 2.29E+02 7.05E+02 4.28E+02 7.81E+02 5.80E+02
 112.251 3.28E+02 2.60E+03 1.36E+03 2.61E+02 7.25E+02 4.33E+02 7.75E+02 6.04E+02
 109.292 3.24E+02 2.75E+03 1.39E+03 2.97E+02 7.52E+02 4.37E+02 7.65E+02 6.32E+02
 106.412 3.21E+02 2.91E+03 1.43E+03 3.38E+02 7.82E+02 4.41E+02 7.37E+02 6.61E+02
 103.611 3.17E+02 3.08E+03 1.47E+03 3.87E+02 8.12E+02 4.44E+02 7.05E+02 6.92E+02
 100.887 3.14E+02 3.26E+03 1.50E+03 4.55E+02 8.43E+02 4.47E+02 6.73E+02 7.24E+02
  98.225 3.16E+02 3.45E+03 1.54E+03 5.37E+02 8.70E+02 4.55E+02 6.58E+02 7.54E+02
  95.641 3.23E+02 3.65E+03 1.58E+03 6.32E+02 8.91E+02 4.70E+02 6.54E+02 7.81E+02
  93.120 3.31E+02 3.86E+03 1.62E+03 7.45E+02 9.14E+02 4.85E+02 6.51E+02 8.10E+02
  90.668 3.39E+02 4.11E+03 1.66E+03 8.78E+02 9.36E+02 5.01E+02 6.62E+02 8.39E+02
  88.279 3.48E+02 4.36E+03 1.71E+03 1.03E+03 9.60E+02 5.17E+02 6.79E+02 8.69E+02
  85.959 3.56E+02 4.64E+03 1.75E+03 1.24E+03 9.86E+02 5.33E+02 7.11E+02 9.01E+02
  83.690 3.65E+02 4.93E+03 1.79E+03 1.61E+03 1.01E+03 5.50E+02 7.43E+02 9.34E+02
  81.490 3.75E+02 5.24E+03 1.85E+03 2.09E+03 1.04E+03 5.68E+02 7.75E+02 9.68E+02
  79.341 3.87E+02 5.57E+03 1.91E+03 2.52E+03 1.07E+03 5.89E+02 7.86E+02 1.00E+03
  77.254 3.99E+02 5.91E+03 1.98E+03 2.88E+03 1.10E+03 6.10E+02 7.94E+02 1.04E+03
  75.220 4.12E+02 6.29E+03 2.06E+03 3.06E+03 1.14E+03 6.33E+02 8.01E+02 1.08E+03
  73.238 4.25E+02 6.68E+03 2.13E+03 3.05E+03 1.18E+03 6.56E+02 8.09E+02 1.13E+03
  71.309 4.38E+02 7.10E+03 2.21E+03 2.96E+03 1.22E+03 6.80E+02 8.34E+02 1.18E+03
  69.432 4.54E+02 7.54E+03 2.28E+03 2.84E+03 1.27E+03 7.06E+02 8.66E+02 1.23E+03
  67.603 4.80E+02 8.02E+03 2.36E+03 2.64E+03 1.31E+03 7.48E+02 9.08E+02 1.28E+03
  65.822 5.09E+02 8.58E+03 2.45E+03 2.46E+03 1.35E+03 7.96E+02 9.66E+02 1.34E+03
  64.090 5.41E+02 9.23E+03 2.55E+03 2.36E+03 1.40E+03 8.47E+02 1.03E+03 1.39E+03
  62.400 5.74E+02 9.94E+03 2.65E+03 2.26E+03 1.44E+03 9.02E+02 1.09E+03 1.46E+03
  60.758 6.10E+02 1.07E+04 2.75E+03 2.17E+03 1.50E+03 9.61E+02 1.16E+03 1.53E+03
  59.157 6.48E+02 1.15E+04 2.86E+03 2.08E+03 1.57E+03 1.02E+03 1.23E+03 1.61E+03
  57.599 6.88E+02 1.24E+04 2.98E+03 2.03E+03 1.64E+03 1.09E+03 1.30E+03 1.70E+03
  56.082 7.31E+02 1.33E+04 3.11E+03 1.98E+03 1.72E+03 1.16E+03 1.38E+03 1.79E+03
  54.605 7.73E+02 1.43E+04 3.25E+03 1.94E+03 1.81E+03 1.23E+03 1.47E+03 1.89E+03
  53.167 8.15E+02 1.53E+04 3.39E+03 1.89E+03 1.90E+03 1.30E+03 1.56E+03 2.00E+03
  51.768 8.58E+02 1.64E+04 3.54E+03 1.85E+03 1.99E+03 1.38E+03 1.66E+03 2.11E+03
  50.405 9.03E+02 1.76E+04 3.70E+03 1.84E+03 2.08E+03 1.45E+03 1.75E+03 2.21E+03
  49.078 9.51E+02 1.92E+04 3.86E+03 1.84E+03 2.17E+03 1.53E+03 1.86E+03 2.32E+03
  47.784 1.00E+03 2.10E+04 4.03E+03 1.84E+03 2.27E+03 1.62E+03 1.97E+03 2.43E+03
  46.527 1.06E+03 2.29E+04 4.21E+03 1.85E+03 2.38E+03 1.71E+03 2.09E+03 2.56E+03
  45.301 1.13E+03 2.51E+04 4.40E+03 1.85E+03 2.50E+03 1.82E+03 2.21E+03 2.70E+03
  44.108 1.20E+03 2.74E+04 4.60E+03 1.87E+03 2.62E+03 1.95E+03 2.34E+03 2.84E+03
  42.947 1.29E+03 1.03E+03 4.83E+03 1.89E+03 2.75E+03 2.08E+03 2.48E+03 2.99E+03
  41.815 1.38E+03 1.09E+03 5.07E+03 1.91E+03 2.89E+03 2.23E+03 2.64E+03 3.15E+03
  40.714 1.47E+03 1.16E+03 5.32E+03 1.95E+03 3.03E+03 2.38E+03 2.81E+03 3.32E+03
  39.642 1.58E+03 1.23E+03 5.58E+03 2.00E+03 3.18E+03 2.55E+03 3.00E+03 3.49E+03
  38.598 1.69E+03 1.30E+03 5.85E+03 2.06E+03 3.34E+03 2.73E+03 3.19E+03 3.68E+03
  37.581 1.80E+03 1.38E+03 6.14E+03 2.11E+03 3.51E+03 2.92E+03 3.40E+03 3.88E+03
  36.592 1.93E+03 1.47E+03 6.44E+03 2.19E+03 3.69E+03 3.12E+03 3.63E+03 4.09E+03
  35.628 2.06E+03 1.56E+03 6.76E+03 2.27E+03 3.87E+03 3.33E+03 3.87E+03 4.30E+03
  34.690 2.21E+03 1.65E+03 7.09E+03 2.36E+03 4.09E+03 3.57E+03 4.12E+03 4.55E+03
  33.777 2.35E+03 1.75E+03 7.44E+03 2.45E+03 4.35E+03 3.80E+03 4.39E+03 4.85E+03
  32.887 2.49E+03 1.86E+03 7.80E+03 2.55E+03 4.63E+03 4.04E+03 4.68E+03 5.17E+03
  32.020 2.65E+03 1.98E+03 8.19E+03 2.67E+03 4.92E+03 4.29E+03 4.99E+03 5.49E+03
  31.177 2.82E+03 2.12E+03 8.60E+03 2.79E+03 5.18E+03 4.57E+03 5.31E+03 5.80E+03
  30.357 2.99E+03 2.26E+03 9.50E+02 2.91E+03 5.45E+03 4.86E+03 5.66E+03 6.12E+03
  29.557 3.18E+03 2.42E+03 1.00E+03 3.02E+03 5.74E+03 5.17E+03 6.03E+03 6.46E+03
  28.779 3.38E+03 2.58E+03 1.05E+03 3.12E+03 6.04E+03 5.49E+03 6.42E+03 6.82E+03
  28.021 3.60E+03 2.76E+03 1.11E+03 3.22E+03 6.36E+03 5.86E+03 6.83E+03 7.20E+03
  27.283 3.84E+03 2.95E+03 1.17E+03 3.27E+03 6.70E+03 6.26E+03 7.28E+03 7.60E+03
  26.564 4.11E+03 3.15E+03 1.23E+03 3.24E+03 7.72E+02 6.69E+03 7.75E+03 1.01E+03
  25.865 4.39E+03 3.37E+03 1.31E+03 3.14E+03 8.17E+02 7.15E+03 8.25E+03 1.07E+03
  25.183 4.69E+03 3.60E+03 1.38E+03 2.66E+03 8.66E+02 7.64E+03 8.79E+03 1.13E+03
  24.520 5.01E+03 3.85E+03 1.30E+03 1.78E+03 9.17E+02 8.17E+03 9.36E+03 1.20E+03
  23.875 5.37E+03 4.12E+03 1.38E+03 1.19E+03 9.72E+02 8.75E+03 9.97E+03 1.27E+03
  23.246 5.74E+03 4.41E+03 1.47E+03 9.38E+02 1.03E+03 9.36E+03 1.07E+04 1.35E+03
  22.634 6.15E+03 4.71E+03 1.55E+03 8.72E+02 1.09E+03 2.84E+03 3.12E+03 1.08E+03
  22.038 6.58E+03 5.04E+03 1.65E+03 8.50E+02 1.16E+03 3.04E+03 3.34E+03 1.15E+03
  21.457 7.06E+03 5.40E+03 1.75E+03 8.55E+02 1.06E+03 3.24E+03 3.56E+03 1.09E+03
  20.892 7.58E+03 5.77E+03 1.86E+03 8.71E+02 1.12E+03 3.46E+03 3.80E+03 1.16E+03
  20.342 8.14E+03 6.18E+03 1.97E+03 8.94E+02 1.19E+03 3.70E+03 4.06E+03 1.23E+03
  19.806 8.74E+03 6.61E+03 2.09E+03 9.31E+02 1.26E+03 3.95E+03 4.33E+03 1.31E+03
  19.285 9.40E+03 7.07E+03 2.22E+03 9.69E+02 1.34E+03 4.23E+03 4.63E+03 1.39E+03
  18.777 1.01E+04 7.56E+03 2.37E+03 1.00E+03 1.43E+03 4.54E+03 4.96E+03 1.48E+03
  18.283 1.09E+04 8.08E+03 2.52E+03 1.04E+03 1.52E+03 4.87E+03 5.31E+03 1.58E+03
  17.801 1.17E+04 8.62E+03 2.67E+03 1.09E+03 1.61E+03 5.18E+03 5.66E+03 1.67E+03
  17.332 1.25E+04 9.22E+03 2.84E+03 1.09E+03 1.70E+03 5.53E+03 6.04E+03 1.77E+03
  16.876 1.34E+04 9.92E+03 3.02E+03 1.03E+03 1.81E+03 5.92E+03 6.46E+03 1.89E+03
  16.431 1.44E+04 1.07E+04 3.22E+03 1.01E+03 1.93E+03 6.34E+03 6.92E+03 2.01E+03
  15.999 1.55E+04 1.15E+04 3.43E+03 1.04E+03 2.06E+03 6.78E+03 7.40E+03 2.15E+03
  15.577 1.67E+04 1.23E+04 3.66E+03 1.08E+03 2.19E+03 7.28E+03 7.94E+03 2.29E+03
  15.167 1.79E+04 1.33E+04 3.90E+03 1.13E+03 2.33E+03 7.81E+03 8.52E+03 2.44E+03
  14.768 1.93E+04 1.43E+04 4.17E+03 1.18E+03 2.49E+03 8.38E+03 9.13E+03 2.61E+03
  14.379 2.07E+04 1.54E+04 4.45E+03 1.23E+03 2.65E+03 8.98E+03 9.78E+03 2.78E+03
  14.000 2.23E+04 1.65E+04 4.75E+03 1.29E+03 2.83E+03 9.61E+03 1.05E+04 2.97E+03
  13.631 2.40E+04 1.78E+04 5.07E+03 1.35E+03 3.01E+03 1.03E+04 1.12E+04 3.17E+03
  13.272 2.58E+04 1.91E+04 5.41E+03 1.41E+03 3.22E+03 1.10E+04 1.20E+04 3.38E+03
  12.923 2.78E+04 2.06E+04 5.78E+03 1.46E+03 3.43E+03 1.18E+04 1.28E+04 3.61E+03
  12.582 2.99E+04 2.22E+04 6.18E+03 1.57E+03 3.67E+03 1.27E+04 1.38E+04 3.86E+03
  12.251 3.22E+04 2.39E+04 6.60E+03 1.70E+03 3.92E+03 1.36E+04 1.47E+04 4.13E+03
  11.928 3.45E+04 2.57E+04 7.06E+03 1.81E+03 4.18E+03 1.46E+04 1.58E+04 4.41E+03
