 301 lines : Henke model of photon absorption for Si 7 micron thick
 2 columns : Wavelength (Angstrom)   Absorption (0-1)
      899.964      1.00000
      924.322      1.00000
      949.307      1.00000
      974.990      1.00000
      1001.37      1.00000
      1028.46      1.00000
      1056.23      1.00000
      1084.79      1.00000
      1114.14      1.00000
      1144.27      1.00000
      1175.29      1.00000
      1207.11      1.00000
      1239.70      1.00000
