 301 lines :  Sn/SiO filter transmission:  100 nm Sn and 15 nm SiO protective layer : Corrected above 50 nm
 2 columns : Wavelength (Angstrom),  Transmission
      808.834   0.00649609
      830.731   0.00428272
      853.200   0.00265679
      876.299   0.00152267
      899.964  0.000811894
      924.322  0.000363058
      949.307  0.000155754
      974.990  7.99418e-05
      1001.37  3.97427e-05
      1028.46  2.17383e-05
      1056.23  1.37203e-05
      1084.79  8.46958e-06
      1114.14  5.73587e-06
      1144.27  3.81932e-06
      1175.29  2.49899e-06
      1207.11  1.60682e-06
      1239.70  1.01623e-06
      
