;  Henke Model results for SAM filter and Si diode transmission
;  Filter:  C/Al/Ti/SiO (700 Ang/1850 A/3000 A/70 A)
;  Si diode:  5 micron thick assumed (1. - transmission)
;
; 7/15/09:  updated C and Al thickness to match better rocket SURF result at different beam energies
;
 301 lines : SAM Filter Transmission - Version 3
 2 columns : wavelength (Angstroms),  transmission
     0.413233   0.00134171
     0.424409   0.00145784
     0.435885   0.00158384
     0.447674   0.00172059
     0.459795   0.00186893
     0.472231   0.00202986
     0.484997   0.00220439
     0.498112   0.00239364
     0.511596   0.00259897
     0.525430   0.00282162
     0.539634   0.00306288
     0.554229   0.00332454
     0.569218   0.00360823
     0.584626   0.00391572
     0.600426   0.00424889
     0.616674   0.00460998
     0.633340   0.00500109
     0.650488   0.00542433
     0.668086   0.00588215
     0.686130   0.00637705
     0.704695   0.00691266
     0.723743   0.00749159
     0.743315   0.00811761
     0.763456   0.00879473
     0.784074   0.00952581
     0.805314    0.0103165
     0.827073    0.0111700
     0.849459    0.0120919
     0.872414    0.0130886
     0.895996    0.0141628
     0.920273    0.0153245
     0.945109    0.0165758
     0.970715    0.0179272
     0.996944    0.0193834
      1.02395    0.0209552
      1.05166    0.0226492
      1.08007    0.0244738
      1.10925    0.0264382
      1.13933    0.0285556
      1.17008    0.0308324
      1.20173    0.0332822
      1.23427    0.0357401
      1.26763    0.0383361
      1.30192    0.0413474
      1.33712    0.0445767
      1.37329    0.0480447
      1.41043    0.0517616
      1.44859    0.0557467
      1.48777    0.0600112
      1.52800    0.0645761
      1.56934    0.0694579
      1.61178    0.0746711
      1.65538    0.0802345
      1.70015    0.0861683
      1.74613    0.0924877
      1.79337    0.0992082
      1.84186     0.106350
      1.89169     0.113934
      1.94286     0.121965
      1.99540     0.130461
      2.04936     0.139441
      2.10479     0.148912
      2.16171     0.158878
      2.22021     0.169355
      2.28024     0.180337
      2.34193     0.191833
      2.40527     0.203826
      2.47031     0.216319
      2.53715     0.250735
      2.60573     0.266959
      2.67621     0.283934
      2.74860     0.301646
      2.82295     0.320077
      2.89934     0.339187
      2.97776     0.358964
      3.05827     0.379342
      3.14103     0.400276
      3.22595     0.421690
      3.31320     0.443490
      3.40278     0.465607
      3.49487     0.487947
      3.58938     0.510379
      3.68640     0.532735
      3.78615     0.554929
      3.88852     0.576755
      3.99375     0.598090
      4.10171     0.618737
      4.21265     0.638556
      4.32660     0.657355
      4.44369     0.674942
      4.56393     0.691197
      4.68731     0.705906
      4.81399     0.718979
      4.94436     0.730234
      5.07803     0.739602
      5.21540     0.746985
      5.35646     0.752330
      5.50122     0.755565
      5.65015     0.756721
      5.80302     0.755795
      5.95981     0.752838
      6.12107     0.747914
      6.28651     0.741177
      6.45677     0.732664
      6.63118     0.722461
      6.81079     0.218674
      6.99487     0.227815
      7.18417     0.236598
      7.37829     0.244751
      7.57809     0.252474
      7.78266     0.259643
      7.99342     0.322855
      8.20939     0.333847
      8.43161     0.343974
      8.65954     0.353291
      8.89375     0.361744
      9.13425     0.369121
      9.38172     0.375346
      9.63547     0.380253
      9.89622     0.383721
      10.1631     0.385792
      10.4387     0.386272
      10.7203     0.385017
      11.0107     0.381972
      11.3080     0.377084
      11.6142     0.370299
      11.9282     0.361697
      12.2512     0.350664
      12.5825     0.336640
      12.9228     0.323847
      13.2723     0.309572
      13.6313     0.294033
      14.0000     0.277433
      14.3787     0.259973
      14.7677     0.241932
      15.1669     0.223543
      15.5773     0.204984
      15.9986     0.186550
      16.4312     0.168583
      16.8756     0.151093
      17.3322     0.134235
      17.8010     0.119152
      18.2825     0.105478
      18.7768    0.0914867
      19.2847    0.0783139
      19.8064    0.0667090
      20.3420    0.0564473
      20.8922    0.0472576
      21.4574    0.0391187
      22.0375    0.0480646
      22.6338    0.0399577
      23.2458    0.0332468
      23.8748    0.0270191
      24.5204    0.0216900
      25.1833    0.0171858
      25.8648    0.0134280
      26.5642    0.0103416
      27.2827     0.307750
      28.0209     0.285910
      28.7787     0.264757
      29.5568     0.244425
      30.3565     0.224559
      31.1772     0.205279
      32.0204     0.186746
      32.8868     0.167858
      33.7765     0.150017
      34.6895     0.132962
      35.6277     0.117208
      36.5920     0.102878
      37.5815    0.0895790
      38.5983    0.0773300
      39.6425    0.0661510
      40.7140    0.0560611
      41.8154    0.0470407
      42.9467    0.0390467
      44.1080    0.0643465
      45.3007    0.0544034
      46.5266    0.0457902
      47.7837    0.0389352
      49.0776    0.0330477
      50.4046    0.0278934
