 301 lines : Filter transmission for Al/Mg/Sc with 200/2000/200 Angstroms
 2 columns : Wavelength (Angstrom),  Transmission (unitless)
      853.200     0.198218
      876.299     0.159286
      899.964     0.140832
      924.322     0.125679
      949.307     0.114226
      974.990     0.103799
      1001.37    0.0951309
      1028.46    0.0877938
      1056.23    0.0807033
      1084.79    0.0738696
      1114.14    0.0672514
      1144.27    0.0592048
      1175.29    0.0516082
      1207.11    0.0445998
      1239.70    0.0381992
