           eV         A/W                %
        50.5714     0.00910575        2.10000
        52.7234      0.0208176        1.80000
        55.0667      0.0311726        1.80000
        57.6279      0.0422531        1.70000
        60.4390      0.0530639        1.70000
        63.5385      0.0623795        1.60000
        66.9730      0.0695604        1.50000
        70.8000      0.0757980        1.50000
        74.6385      0.0123845        1.40000
        79.4231      0.0120957        1.30000
        84.8630     0.00348383        1.30000
        91.1029    0.000953740        1.30000
        98.3333    0.000260012        2.70000
        106.810     0.00160422        1.50000
        116.887    0.000917595        6.80000
        123.900    0.000845214        5.10000
        130.421     0.00141043        3.60000
        137.667     0.00300412        2.20000
        149.277     0.00415009        1.50000
        158.846     0.00407934        1.80000
        169.726     0.00637986        1.50000
        182.206      0.0118049        1.30000
        196.667      0.0155047        1.60000
        213.621      0.0201980        1.90000
        233.774      0.0335959        1.90000
        247.800      0.0414109        1.90000
        250.000      0.0426988        1.00000
        260.000      0.0483979        1.00000
        270.000      0.0543522        1.00000
        280.000      0.0618595       0.900000
        310.000      0.0489033        1.10000
        330.000      0.0661267       0.900000
        350.000      0.0802373       0.900000
        370.000      0.0914365       0.900000
        390.000       0.103280       0.800000
        410.000      0.0511010       0.800000
        430.000      0.0944983       0.800000
        450.000       0.102892       0.800000
        490.000       0.119241       0.800000
        530.000       0.132791       0.800000
        570.000       0.144959       0.800000
        610.000       0.159855       0.800000
        650.000       0.172680       0.800000
        690.000       0.183461       0.800000
        720.000       0.191607       0.800000
        760.000       0.199703       0.900000
        800.000       0.206601       0.900000
        840.000       0.212474       0.900000
        880.000       0.216090       0.900000
        920.000       0.216589       0.900000
        1000.00       0.218863        1.30000
        1100.00       0.213454        1.40000
        1200.00       0.204402        1.50000
        1300.00       0.191170        1.60000
        1400.00       0.176405        1.80000
        1500.00       0.161174        1.90000

