           eV         A/W                %
        50.5714   -1.07887E-05        827.100
        52.7234   -1.84617E-07        34260.6
        55.0667   -1.08895E-06        4296.20
        57.6279   -6.10828E-07        5417.40
        60.4390   -1.65520E-07        13976.6
        63.5385    3.04634E-06        581.000
        66.9730    1.78928E-05        83.8000
        70.8000    7.56657E-05        20.0000
        74.6385    0.000152647        9.70000
        79.4231    0.000213860        5.00000
        84.8630    0.000269625        2.90000
        91.1029    0.000395089        1.60000
        98.3333    0.000566952        1.20000
        106.810    0.000389738        1.70000
        116.887    0.000424967        5.40000
        123.900    0.000491045        3.70000
        130.421    0.000586811        4.00000
        137.667    0.000890046        3.30000
        149.277     0.00133324        1.70000
        158.846     0.00159924        2.20000
        169.726     0.00207098        2.20000
        182.206     0.00369997        1.90000
        196.667     0.00591233        2.60000
        213.621     0.00901866        4.00000
        233.774      0.0126185        1.00000
        247.800      0.0180108        1.20000
        250.000      0.0192260        1.00000
        260.000      0.0228335        1.00000
        270.000      0.0262918        1.00000
        280.000      0.0297674        1.00000
        310.000      0.0267362       0.900000
        330.000      0.0378286       0.900000
        350.000      0.0478710       0.900000
        370.000      0.0566667       0.900000
        390.000      0.0668902       0.800000
        410.000      0.0765874       0.800000
        430.000      0.0878014       0.800000
        450.000      0.0941250       0.800000
        490.000     0.00233504        5.90000
        530.000     0.00339008        4.00000
        570.000     0.00409605        3.00000
        610.000     0.00582494        1.30000
        650.000     0.00874931       0.900000
        690.000      0.0138114       0.800000
        720.000      0.0181205       0.800000
        760.000      0.0247837       0.900000
        800.000      0.0316225       0.900000
        840.000      0.0394672       0.900000
        880.000      0.0469636       0.900000
        920.000      0.0548453       0.900000
        1000.00      0.0705657        1.30000
        1100.00      0.0869541        1.40000
        1200.00      0.0985140        1.50000
        1300.00       0.105068        1.60000
        1400.00       0.107310        1.80000
        1500.00       0.106016        1.90000

