 1240 lines : MEGS A1 responsivity (electrons / photons) : includes Filter transmission & CCD response
 3 columns : Wavelength (nm), A1-Primay Filter (187 Zr/ 65 C),  A1-Second Order Filter (116 Zr/ 133 Si/ 87 C)
      19.4500     0.435150     0.609924
      19.5500     0.396786     0.569657
      19.6500     0.358422     0.529391
      19.7500     0.331072     0.498029
      19.8500     0.304903     0.467622
      19.9500     0.278733     0.437215
      20.0500     0.252563     0.406808
      20.1500     0.226394     0.376401
      20.2500     0.205771     0.351109
      20.3500     0.189089     0.329452
      20.4500     0.172407     0.307794
      20.5500     0.155726     0.286136
      20.6500     0.139044     0.264479
      20.7500     0.123165     0.243609
      20.8500     0.113007     0.228358
      20.9500     0.102850     0.213106
      21.0500    0.0926927     0.197855
      21.1500    0.0825353     0.182603
      21.2500    0.0723780     0.167352
      21.3500    0.0643904     0.154382
      21.4500    0.0584453     0.143560
      21.5500    0.0525003     0.132737
      21.6500    0.0465552     0.121915
      21.7500    0.0406102     0.111093
      21.8500    0.0346651     0.100270
      21.9500    0.0308510    0.0922601
      22.0500    0.0277327    0.0851680
      22.1500    0.0246144    0.0780759
      22.2500    0.0214962    0.0709839
      22.3500    0.0183779    0.0638918
      22.4500    0.0152596    0.0567997
      22.5500    0.0135407    0.0520914
      22.6500    0.0120897    0.0478394
      22.7500    0.0106386    0.0435874
      22.8500   0.00918760    0.0393354
      22.9500   0.00773657    0.0350834
      23.0500   0.00628554    0.0308314
      23.1500   0.00546741    0.0279492
      23.2500   0.00484980    0.0255011
      23.3500   0.00423218    0.0230530
      23.4500   0.00361456    0.0206049
      23.5500   0.00299695    0.0181568
      23.6500   0.00237933    0.0157086
      23.7500   0.00196405    0.0138721
      23.8500   0.00173699    0.0126044
      23.9500   0.00150993    0.0113367
      24.0500   0.00128288    0.0100691
      24.1500   0.00105582   0.00880139
      24.2500  0.000828767   0.00753373
      24.3500  0.000619090   0.00634173
      24.4500  0.000548073   0.00575345
      24.5500  0.000477056   0.00516517
      24.6500  0.000406038   0.00457690
      24.7500  0.000335021   0.00398862
      24.8500  0.000264004   0.00340034
      24.9500  0.000192987   0.00281207
      25.0500  0.000149494   0.00240497
      25.1500  0.000130884   0.00216169
      25.2500  0.000112275   0.00191840
      25.3500  9.36658e-05   0.00167511
      25.4500  7.50565e-05   0.00143182
      25.5500  5.64473e-05   0.00118854
      25.6500  3.78380e-05  0.000945250
      25.7500  3.03948e-05  0.000820435
      25.8500  2.63965e-05  0.000732172
      25.9500  2.23982e-05  0.000643909
      26.0500  1.84000e-05  0.000555646
      26.1500  1.44017e-05  0.000467384
      26.2500  1.04034e-05  0.000379121
      26.3500  6.40517e-06  0.000290858
      26.4500  5.12896e-06  0.000251914
      26.5500  4.43500e-06  0.000223519
      26.6500  3.74104e-06  0.000195124
      26.7500  3.04707e-06  0.000166729
      26.8500  2.35311e-06  0.000138334
      26.9500  1.65915e-06  0.000109939
      27.0500  9.65184e-07  8.15435e-05
      27.1500  6.87935e-07  6.74275e-05
      27.2500  5.95244e-07  5.96355e-05
      27.3500  5.02552e-07  5.18435e-05
      27.4500  4.09861e-07  4.40515e-05
      27.5500  3.17169e-07  3.62595e-05
      27.6500  2.24478e-07  2.84675e-05
      27.7500  1.31786e-07  2.06755e-05
      27.8500  6.97057e-08  1.51055e-05
      27.9500  6.07143e-08  1.33889e-05
      28.0500  5.17229e-08  1.16723e-05
      28.1500  4.27315e-08  9.95569e-06
      28.2500  3.37401e-08  8.23910e-06
      28.3500  2.47487e-08  6.52251e-06
      28.4500  1.57573e-08  4.80592e-06
      28.5500  6.76593e-09  3.08933e-06
      28.6500  4.83990e-09  2.59129e-06
      28.7500  4.24291e-09  2.32246e-06
      28.8500  3.64592e-09  2.05364e-06
      28.9500  3.04894e-09  1.78481e-06
      29.0500  2.45195e-09  1.51599e-06
      29.1500  1.85497e-09  1.24716e-06
      29.2500  1.25798e-09  9.78338e-07
      29.3500  7.21417e-10  7.33612e-07
      29.4500  6.51563e-10  6.75027e-07
      29.5500  5.81709e-10  6.16443e-07
      29.6500  5.11855e-10  5.57858e-07
      29.7500  4.42001e-10  4.99274e-07
      29.8500  3.72147e-10  4.40690e-07
      29.9500  3.02293e-10  3.82105e-07
      30.0500  2.32439e-10  3.23521e-07
      30.1500  1.74913e-10  2.74584e-07
      30.2500  1.71665e-10  2.68125e-07
      30.3500  1.68416e-10  2.61667e-07
      30.4500  1.65168e-10  2.55208e-07
      30.5500  1.61920e-10  2.48749e-07
      30.6500  1.58671e-10  2.42290e-07
      30.7500  1.55423e-10  2.35831e-07
      30.8500  1.52174e-10  2.29372e-07
      30.9500  1.48971e-10  2.22978e-07
      31.0500  1.47146e-10  2.18578e-07
      31.1500  1.45321e-10  2.14179e-07
      31.2500  1.43496e-10  2.09779e-07
      31.3500  1.41671e-10  2.05379e-07
      31.4500  1.39846e-10  2.00980e-07
      31.5500  1.38021e-10  1.96580e-07
      31.6500  1.36196e-10  1.92180e-07
      31.7500  1.34371e-10  1.87781e-07
      31.8500  1.40722e-10  1.89618e-07
      31.9500  1.51269e-10  1.94658e-07
      32.0500  1.61816e-10  1.99697e-07
      32.1500  1.72363e-10  2.04736e-07
      32.2500  1.82910e-10  2.09776e-07
      32.3500  1.93457e-10  2.14815e-07
      32.4500  2.04005e-10  2.19854e-07
      32.5500  2.14552e-10  2.24893e-07
      32.6500  2.26009e-10  2.30201e-07
      32.7500  2.50430e-10  2.39335e-07
      32.8500  2.74852e-10  2.48468e-07
      32.9500  2.99273e-10  2.57602e-07
      33.0500  3.23695e-10  2.66735e-07
      33.1500  3.48117e-10  2.75869e-07
      33.2500  3.72538e-10  2.85003e-07
      33.3500  3.96960e-10  2.94136e-07
      33.4500  4.21381e-10  3.03270e-07
      33.5500  4.54117e-10  3.13935e-07
      33.6500  5.13538e-10  3.29518e-07
      33.7500  5.72960e-10  3.45100e-07
      33.8500  6.32381e-10  3.60683e-07
      33.9500  6.91802e-10  3.76266e-07
      34.0500  7.51223e-10  3.91848e-07
      34.1500  8.10644e-10  4.07431e-07
      34.2500  8.70066e-10  4.23014e-07
      34.3500  9.29487e-10  4.38596e-07
      34.4500  1.02697e-09  4.59654e-07
      34.5500  1.31352e-09  5.07911e-07
      34.6500  1.60008e-09  5.56169e-07
      34.7500  1.88663e-09  6.04426e-07
      34.8500  2.17318e-09  6.52683e-07
      34.9500  2.45974e-09  7.00940e-07
      35.0500  2.74629e-09  7.49198e-07
      35.1500  3.03285e-09  7.97455e-07
      35.2500  3.31940e-09  8.45712e-07
      35.3500  3.60595e-09  8.93970e-07
      35.4500  4.47318e-09  9.74704e-07
      35.5500  5.43830e-09  1.06091e-06
      35.6500  6.40342e-09  1.14712e-06
      35.7500  7.36854e-09  1.23333e-06
      35.8500  8.33365e-09  1.31954e-06
      35.9500  9.29877e-09  1.40575e-06
      36.0500  1.02639e-08  1.49196e-06
      36.1500  1.12290e-08  1.57816e-06
      36.2500  1.21941e-08  1.66437e-06
      36.3500  1.36812e-08  1.76390e-06
      36.4500  1.64311e-08  1.89563e-06
      36.5500  1.91810e-08  2.02736e-06
      36.6500  2.19309e-08  2.15910e-06
      36.7500  2.46808e-08  2.29083e-06
      36.8500  2.74308e-08  2.42257e-06
      36.9500  3.01807e-08  2.55430e-06
      37.0500  3.29306e-08  2.68603e-06
      37.1500  3.56805e-08  2.81777e-06
      37.2500  3.84304e-08  2.94950e-06
      37.3500  4.31291e-08  3.10542e-06
      37.4500  5.00503e-08  3.28891e-06
      37.5500  5.69715e-08  3.47240e-06
      37.6500  6.38927e-08  3.65589e-06
      37.7500  7.08139e-08  3.83938e-06
      37.8500  7.77351e-08  4.02287e-06
      37.9500  8.46563e-08  4.20636e-06
      38.0500  9.15775e-08  4.38985e-06
      38.1500  9.84987e-08  4.57335e-06
      38.2500  1.05420e-07  4.75684e-06
      38.3500  1.15562e-07  4.95749e-06
      38.4500  1.30962e-07  5.18615e-06
      38.5500  1.46362e-07  5.41481e-06
      38.6500  1.61762e-07  5.64347e-06
      38.7500  1.77162e-07  5.87213e-06
      38.8500  1.92562e-07  6.10079e-06
      38.9500  2.07963e-07  6.32945e-06
      39.0500  2.23363e-07  6.55811e-06
      39.1500  2.38763e-07  6.78677e-06
      39.2500  2.54163e-07  7.01543e-06
      39.3500  2.69857e-07  7.24462e-06
      39.4500  3.00416e-07  7.50097e-06
      39.5500  3.30975e-07  7.75731e-06
      39.6500  3.61534e-07  8.01366e-06
      39.7500  3.92093e-07  8.27001e-06
      39.8500  4.22652e-07  8.52635e-06
      39.9500  4.53211e-07  8.78270e-06
      40.0500  4.83770e-07  9.03904e-06
      40.1500  5.14330e-07  9.29539e-06
      40.2500  5.44889e-07  9.55173e-06
