;  Henke Model results for SAM filter and Si diode transmission
;  Filter:  C/Al/Ti/SiO (600 Ang/2000 A/3200 A/70 A)
;  Si diode:  5 micron thick assumed (1. - transmission)
;
; 8/8/09:  updated with new Gain (2.47) to match rocket SURF results at different beam energies
;
 301 lines : SAM Filter Transmission - Version 8
 2 columns : wavelength (nm),  transmission
    0.0413233   0.00134165
    0.0424409   0.00145777
    0.0435885   0.00158375
    0.0447674   0.00172049
    0.0459795   0.00186882
    0.0472231   0.00202973
    0.0484997   0.00220423
    0.0498112   0.00239345
    0.0511596   0.00259875
    0.0525430   0.00282136
    0.0539634   0.00306258
    0.0554229   0.00332418
    0.0569218   0.00360781
    0.0584626   0.00391523
    0.0600426   0.00424832
    0.0616674   0.00460931
    0.0633340   0.00500030
    0.0650488   0.00542340
    0.0668086   0.00588106
    0.0686130   0.00637578
    0.0704695   0.00691117
    0.0723743   0.00748984
    0.0743315   0.00811556
    0.0763456   0.00879233
    0.0784074   0.00952299
    0.0805314    0.0103132
    0.0827073    0.0111661
    0.0849459    0.0120874
    0.0872414    0.0130833
    0.0895996    0.0141566
    0.0920273    0.0153173
    0.0945109    0.0165674
    0.0970715    0.0179173
    0.0996944    0.0193719
     0.102395    0.0209418
     0.105166    0.0226336
     0.108007    0.0244556
     0.110925    0.0264170
     0.113933    0.0285309
     0.117008    0.0308037
     0.120173    0.0332488
     0.123427    0.0357011
     0.126763    0.0382907
     0.130192    0.0412946
     0.133712    0.0445154
     0.137329    0.0479735
     0.141043    0.0516790
     0.144859    0.0556510
     0.148777    0.0599003
     0.152800    0.0644477
     0.156934    0.0693093
     0.161178    0.0744993
     0.165538    0.0800361
     0.170015    0.0859392
     0.174613    0.0922236
     0.179337    0.0989039
     0.184186     0.105999
     0.189169     0.113531
     0.194286     0.121502
     0.199540     0.129930
     0.204936     0.138833
     0.210479     0.148216
     0.216171     0.158082
     0.222021     0.168447
     0.228024     0.179302
     0.234193     0.190656
     0.240527     0.202488
     0.247031     0.214802
     0.253715     0.250345
     0.260573     0.266512
     0.267621     0.283422
     0.274860     0.301059
     0.282295     0.319407
     0.289934     0.338422
     0.297776     0.358093
     0.305827     0.378350
     0.314103     0.399150
     0.322595     0.420413
     0.331320     0.442045
     0.340278     0.463975
     0.349487     0.486106
     0.358938     0.508308
     0.368640     0.530410
     0.378615     0.552324
     0.388852     0.573845
     0.399375     0.594845
     0.410171     0.615128
     0.421265     0.634553
     0.432660     0.652928
     0.444369     0.670057
     0.456393     0.685824
     0.468731     0.700013
     0.481399     0.712534
     0.494436     0.723208
     0.507803     0.731964
     0.521540     0.738708
     0.535646     0.743388
     0.550122     0.745934
     0.565015     0.746380
     0.580302     0.744724
     0.595981     0.741022
     0.612107     0.735344
     0.628651     0.727852
     0.645677     0.718571
     0.663118     0.707593
     0.681079     0.213859
     0.699487     0.222450
     0.718417     0.230640
     0.737829     0.238173
     0.757809     0.245230
     0.778266     0.251692
     0.799342     0.317231
     0.820939     0.327613
     0.843161     0.337096
     0.865954     0.345736
     0.889375     0.353473
     0.913425     0.360097
     0.938172     0.365536
     0.963547     0.369628
     0.989622     0.372262
      1.01631     0.373489
      1.04387     0.373121
      1.07203     0.371025
      1.10107     0.367153
      1.13080     0.361470
      1.16142     0.353934
      1.19282     0.344641
      1.22512     0.333040
      1.25825     0.318605
      1.29228     0.305352
      1.32723     0.290732
      1.36313     0.274983
      1.40000     0.258311
      1.43787     0.240913
      1.47677     0.223070
      1.51669     0.205018
      1.55773     0.186930
      1.59986     0.169095
      1.64312     0.151841
      1.68756     0.135172
      1.73322     0.119229
      1.78010     0.105074
      1.82825    0.0923388
      1.87768    0.0794118
      1.92847    0.0673508
      1.98064    0.0568294
      2.03420    0.0476184
      2.08922    0.0394535
      2.14574    0.0323001
      2.20375    0.0403030
      2.26338    0.0331552
      2.32458    0.0272822
      2.38748    0.0219118
      2.45204    0.0173719
      2.51833    0.0135841
      2.58648    0.0104665
      2.65642   0.00794233
      2.72827     0.297174
      2.80209     0.275552
      2.87787     0.254675
      2.95568     0.234676
      3.03565     0.215178
      3.11772     0.196301
      3.20204     0.178204
      3.28868     0.159752
      3.37765     0.142310
      3.46895     0.125681
      3.56277     0.110377
      3.65920    0.0965205
      3.75815    0.0837098
      3.85983    0.0719576
      3.96425    0.0612779
      4.07140    0.0516830
      4.18154    0.0431474
      4.29467    0.0356215
      4.41080    0.0528307
      4.53007    0.0441307
      4.65266    0.0366879
      4.77837    0.0308413
      4.90776    0.0258779
      5.04046    0.0215829
      5.17685    0.0178442
      5.31672    0.0145187
      5.46051    0.0116078
      5.60823   0.00906982
      5.75988   0.00693655
      5.91573   0.00526506
      6.07577   0.00393403
      6.24000   0.00290676
      6.40904   0.00215707
      6.58224   0.00158106
      6.76028   0.00113943
      6.94315  0.000817581
      7.13086  0.000631862
      7.32380  0.000492668
      7.52199  0.000381734
      7.72543  0.000294691
      7.93408  0.000230054
      8.14895  0.000178633
      8.36900  0.000140506
      8.59590  0.000111251
      8.82789  8.76293e-05
      9.06677  6.90699e-05
      9.31195  5.43121e-05
      9.56411  4.25713e-05
      9.82252  3.32247e-05
      10.0887  2.82822e-05
      10.3611  2.61140e-05
      10.6412  2.39251e-05
      10.9292  2.17344e-05
      11.2251  1.96506e-05
      11.5289  1.82663e-05
      11.8405  1.69600e-05
      12.1611  1.59423e-05
      12.4894  1.50902e-05
      12.8272  1.48082e-05
      13.1741  1.45896e-05
      13.5304  1.44872e-05
      13.8964  1.43290e-05
      14.2722  1.44404e-05
      14.6583  1.69975e-05
      15.0548  1.94473e-05
      15.4620  2.16796e-05
      15.8802  2.32981e-05
      16.3097  2.28488e-05
      16.7509  2.13926e-05
      17.2040  0.000386693
      17.6691  0.000228354
      18.1471  0.000128466
      18.6379  5.04183e-05
      19.1421  1.46049e-05
      19.6597  3.59705e-06
      20.1915  6.42721e-07
      20.7377  8.01285e-08
      21.2985  8.38036e-09
      21.8746  7.73088e-10
      22.4661  5.19507e-11
      23.0741  2.80240e-12
      23.6982  1.09458e-13
      24.3389  3.14719e-15
      24.9975  3.67403e-16
      25.6736  7.34223e-17
      26.3676  2.19981e-17
      27.0807  1.47094e-17
      27.8134  1.70554e-17
      28.5658  3.86170e-17
      29.3385  2.36373e-16
      30.1315  1.99714e-15
      30.9469  1.53253e-14
      31.7839  1.10632e-13
      32.6434  6.84592e-13
      33.5262  3.07436e-12
      34.4332  1.10226e-11
      35.3644  3.24007e-11
      36.3208  6.32895e-11
      37.3033  1.17417e-10
      38.3120  1.00816e-10
      39.3481  8.15904e-11
      40.4127  4.27123e-11
      41.5060  1.34752e-11
      42.6292  4.09528e-12
      43.7809  1.20448e-12
      44.9655  3.34433e-13
      46.1816  1.29819e-13
      47.4308  6.91143e-14
      48.7131  3.65052e-14
      50.0323  2.82980e-14
      51.3844  2.95792e-14
      52.7734  3.02873e-14
      54.2016  3.19463e-14
      55.6668  6.02963e-14
      57.1738  1.31419e-13
      58.7202  2.69859e-13
      60.3084  4.92120e-13
      61.9385  8.17972e-13
      63.6135  1.12622e-12
      65.3368  1.17608e-12
      67.1015  1.17186e-12
      68.9182  1.01094e-12
      70.7793  8.87322e-13
      72.6969  7.09803e-13
      74.6627  4.58272e-13
      76.6809  2.70472e-13
      78.7561  1.54284e-13
      80.8834  5.50776e-14
      83.0731  3.30377e-15
      85.3200  2.61233e-17
      87.6299  2.17233e-18
      89.9964  4.65874e-19
      92.4322  1.07137e-19
      94.9307  3.19360e-20
      97.4990  9.24272e-21
      100.137  2.84539e-21
      102.846  9.30691e-22
      105.623  2.90565e-22
      108.479  8.45021e-23
      111.414  2.21807e-23
      114.427  3.42520e-24
      117.529  4.37562e-25
      120.711  4.88886e-26
      123.970  4.79013e-27
