 1240 lines : MEGS B CCD responsivity
 2 columns : Wavelength (nm),  Responsivity (electrons/photon) [no filter]
      28.8500      7.45550
      28.9500      7.42327
      29.0500      7.39104
      29.1500      7.35881
      29.2500      7.32658
      29.3500      7.29540
      29.4500      7.27234
      29.5500      7.24927
      29.6500      7.22621
      29.7500      7.20315
      29.8500      7.18009
      29.9500      7.15703
      30.0500      7.13397
      30.1500      7.11095
      30.2500      7.08810
      30.3500      7.06525
      30.4500      7.04240
      30.5500      7.01955
      30.6500      6.99670
      30.7500      6.97385
      30.8500      6.95099
      30.9500      6.92809
      31.0500      6.90353
      31.1500      6.87897
      31.2500      6.85441
      31.3500      6.82985
      31.4500      6.80530
      31.5500      6.78074
      31.6500      6.75618
      31.7500      6.73162
      31.8500      6.70714
      31.9500      6.68269
      32.0500      6.65825
      32.1500      6.63381
      32.2500      6.60937
      32.3500      6.58493
      32.4500      6.56049
      32.5500      6.53604
      32.6500      6.51146
      32.7500      6.48493
      32.8500      6.45840
      32.9500      6.43187
      33.0500      6.40533
      33.1500      6.37880
      33.2500      6.35227
      33.3500      6.32573
      33.4500      6.29920
      33.5500      6.27252
      33.6500      6.24536
      33.7500      6.21820
      33.8500      6.19105
      33.9500      6.16389
      34.0500      6.13673
      34.1500      6.10957
      34.2500      6.08241
      34.3500      6.05525
      34.4500      6.02902
      34.5500      6.00738
      34.6500      5.98573
      34.7500      5.96409
      34.8500      5.94244
      34.9500      5.92079
      35.0500      5.89915
      35.1500      5.87750
      35.2500      5.85586
      35.3500      5.83421
      35.4500      5.81781
      35.5500      5.80228
      35.6500      5.78676
      35.7500      5.77124
      35.8500      5.75571
      35.9500      5.74019
      36.0500      5.72466
      36.1500      5.70914
      36.2500      5.69362
      36.3500      5.67813
      36.4500      5.66274
      36.5500      5.64734
      36.6500      5.63195
      36.7500      5.61656
      36.8500      5.60116
      36.9500      5.58577
      37.0500      5.57037
      37.1500      5.55498
      37.2500      5.53959
      37.3500      5.52426
      37.4500      5.50901
      37.5500      5.49376
      37.6500      5.47850
      37.7500      5.46325
      37.8500      5.44800
      37.9500      5.43275
      38.0500      5.41750
      38.1500      5.40225
      38.2500      5.38699
      38.3500      5.37163
      38.4500      5.35609
      38.5500      5.34055
      38.6500      5.32501
      38.7500      5.30947
      38.8500      5.29393
      38.9500      5.27839
      39.0500      5.26285
      39.1500      5.24730
      39.2500      5.23176
      39.3500      5.21621
      39.4500      5.20002
      39.5500      5.18382
      39.6500      5.16763
      39.7500      5.15143
      39.8500      5.13524
      39.9500      5.11904
      40.0500      5.10285
      40.1500      5.08666
      40.2500      5.07046
      40.3500      5.05427
      40.4500      5.03781
      40.5500      5.02091
      40.6500      5.00401
      40.7500      4.98711
      40.8500      4.97021
      40.9500      4.95331
      41.0500      4.93642
      41.1500      4.91952
      41.2500      4.90262
      41.3500      4.88572
      41.4500      4.86882
      41.5500      4.85158
      41.6500      4.83393
      41.7500      4.81627
      41.8500      4.79861
      41.9500      4.78095
      42.0500      4.76329
      42.1500      4.74563
      42.2500      4.72797
      42.3500      4.71031
      42.4500      4.69266
      42.5500      4.67500
      42.6500      4.65769
      42.7500      4.64173
      42.8500      4.62577
      42.9500      4.60982
      43.0500      4.59386
      43.1500      4.57790
      43.2500      4.56194
      43.3500      4.54598
      43.4500      4.53002
      43.5500      4.51406
      43.6500      4.49811
      43.7500      4.48215
      43.8500      4.46681
      43.9500      4.45176
      44.0500      4.43671
      44.1500      4.42166
      44.2500      4.40661
      44.3500      4.39155
      44.4500      4.37650
      44.5500      4.36145
      44.6500      4.34640
      44.7500      4.33134
      44.8500      4.31629
      44.9500      4.30124
      45.0500      4.28911
      45.1500      4.27753
      45.2500      4.26594
      45.3500      4.25435
      45.4500      4.24276
      45.5500      4.23117
      45.6500      4.21959
      45.7500      4.20800
      45.8500      4.19641
      45.9500      4.18482
      46.0500      4.17324
      46.1500      4.16165
      46.2500      4.15015
      46.3500      4.13870
      46.4500      4.12725
      46.5500      4.11579
      46.6500      4.10434
      46.7500      4.09289
      46.8500      4.08143
      46.9500      4.06998
      47.0500      4.05853
      47.1500      4.04707
      47.2500      4.03562
      47.3500      4.02417
      47.4500      4.01274
      47.5500      4.00140
      47.6500      3.99007
      47.7500      3.97874
      47.8500      3.96740
      47.9500      3.95607
      48.0500      3.94474
      48.1500      3.93341
      48.2500      3.92207
      48.3500      3.91074
      48.4500      3.89941
      48.5500      3.88807
      48.6500      3.87674
      48.7500      3.86528
      48.8500      3.85362
      48.9500      3.84195
      49.0500      3.83029
      49.1500      3.81862
      49.2500      3.80696
      49.3500      3.79529
      49.4500      3.78363
      49.5500      3.77196
      49.6500      3.76030
      49.7500      3.74863
      49.8500      3.73696
      49.9500      3.72530
      50.0500      3.71362
      50.1500      3.70185
      50.2500      3.69008
      50.3500      3.67831
      50.4500      3.66655
      50.5500      3.65478
      50.6500      3.64301
      50.7500      3.63125
      50.8500      3.61948
      50.9500      3.60771
      51.0500      3.59595
      51.1500      3.58418
      51.2500      3.57241
      51.3500      3.56064
      51.4500      3.54766
      51.5500      3.53404
      51.6500      3.52042
      51.7500      3.50679
      51.8500      3.49317
      51.9500      3.47955
      52.0500      3.46592
      52.1500      3.45230
      52.2500      3.43868
      52.3500      3.42506
      52.4500      3.41143
      52.5500      3.39781
      52.6500      3.38419
      52.7500      3.37057
      52.8500      3.35625
      52.9500      3.34172
      53.0500      3.32719
      53.1500      3.31266
      53.2500      3.29813
      53.3500      3.28360
      53.4500      3.26907
      53.5500      3.25454
      53.6500      3.24001
      53.7500      3.22548
      53.8500      3.21095
      53.9500      3.19642
      54.0500      3.18189
      54.1500      3.16736
      54.2500      3.15326
      54.3500      3.13961
      54.4500      3.12596
      54.5500      3.11230
      54.6500      3.09865
      54.7500      3.08500
      54.8500      3.07135
      54.9500      3.05770
      55.0500      3.04404
      55.1500      3.03039
      55.2500      3.01674
      55.3500      3.00309
      55.4500      2.98944
      55.5500      2.97579
      55.6500      2.96213
      55.7500      2.94948
      55.8500      2.93702
      55.9500      2.92456
      56.0500      2.91210
      56.1500      2.89964
      56.2500      2.88719
      56.3500      2.87473
      56.4500      2.86227
      56.5500      2.84981
      56.6500      2.83736
      56.7500      2.82490
      56.8500      2.81244
      56.9500      2.79998
      57.0500      2.78752
      57.1500      2.77507
      57.2500      2.76371
      57.3500      2.75269
      57.4500      2.74168
      57.5500      2.73066
      57.6500      2.71965
      57.7500      2.70864
      57.8500      2.69762
      57.9500      2.68661
      58.0500      2.67559
      58.1500      2.66458
      58.2500      2.65356
      58.3500      2.64255
      58.4500      2.63153
      58.5500      2.62052
      58.6500      2.60950
      58.7500      2.59968
      58.8500      2.59265
      58.9500      2.58563
      59.0500      2.57860
      59.1500      2.57157
      59.2500      2.56455
      59.3500      2.55752
      59.4500      2.55049
      59.5500      2.54346
      59.6500      2.53644
      59.7500      2.52941
      59.8500      2.52238
