;  Henke Model results for SAM filter and Si diode transmission
;  Filter:  C/Al/Ti/SiO (800 Ang/2000 A/3200 A/70 A)
;  Si diode:  5 micron thick assumed (1. - transmission)
;
; 8/10/09:  updated with new Gain (2.47) to match rocket SURF results at different beam energies
;
 301 lines : SAM Filter Transmission - Version 9
 2 columns : wavelength (nm),  transmission
    0.0413233   0.00134165
    0.0424409   0.00145777
    0.0435885   0.00158375
    0.0447674   0.00172049
    0.0459795   0.00186881
    0.0472231   0.00202973
    0.0484997   0.00220423
    0.0498112   0.00239345
    0.0511596   0.00259875
    0.0525430   0.00282136
    0.0539634   0.00306258
    0.0554229   0.00332418
    0.0569218   0.00360781
    0.0584626   0.00391523
    0.0600426   0.00424832
    0.0616674   0.00460930
    0.0633340   0.00500030
    0.0650488   0.00542340
    0.0668086   0.00588105
    0.0686130   0.00637577
    0.0704695   0.00691116
    0.0723743   0.00748983
    0.0743315   0.00811555
    0.0763456   0.00879231
    0.0784074   0.00952297
    0.0805314    0.0103131
    0.0827073    0.0111661
    0.0849459    0.0120874
    0.0872414    0.0130833
    0.0895996    0.0141566
    0.0920273    0.0153173
    0.0945109    0.0165674
    0.0970715    0.0179173
    0.0996944    0.0193719
     0.102395    0.0209417
     0.105166    0.0226335
     0.108007    0.0244555
     0.110925    0.0264168
     0.113933    0.0285308
     0.117008    0.0308035
     0.120173    0.0332486
     0.123427    0.0357008
     0.126763    0.0382903
     0.130192    0.0412942
     0.133712    0.0445150
     0.137329    0.0479730
     0.141043    0.0516784
     0.144859    0.0556502
     0.148777    0.0598995
     0.152800    0.0644467
     0.156934    0.0693081
     0.161178    0.0744979
     0.165538    0.0800344
     0.170015    0.0859373
     0.174613    0.0922214
     0.179337    0.0989012
     0.184186     0.105996
     0.189169     0.113527
     0.194286     0.121498
     0.199540     0.129926
     0.204936     0.138827
     0.210479     0.148210
     0.216171     0.158075
     0.222021     0.168438
     0.228024     0.179292
     0.234193     0.190644
     0.240527     0.202475
     0.247031     0.214787
     0.253715     0.250325
     0.260573     0.266489
     0.267621     0.283395
     0.274860     0.301029
     0.282295     0.319372
     0.289934     0.338382
     0.297776     0.358046
     0.305827     0.378297
     0.314103     0.399089
     0.322595     0.420343
     0.331320     0.441966
     0.340278     0.463884
     0.349487     0.486003
     0.358938     0.508191
     0.368640     0.530277
     0.378615     0.552175
     0.388852     0.573676
     0.399375     0.594656
     0.410171     0.614916
     0.421265     0.634316
     0.432660     0.652663
     0.444369     0.669763
     0.456393     0.685498
     0.468731     0.699652
     0.481399     0.712137
     0.494436     0.722771
     0.507803     0.731486
     0.521540     0.738186
     0.535646     0.742819
     0.550122     0.745316
     0.565015     0.745710
     0.580302     0.744002
     0.595981     0.740244
     0.612107     0.734509
     0.628651     0.726959
     0.645677     0.717617
     0.663118     0.706577
     0.681079     0.213527
     0.699487     0.222076
     0.718417     0.230221
     0.737829     0.237706
     0.757809     0.244710
     0.778266     0.251115
     0.799342     0.316446
     0.820939     0.326737
     0.843161     0.336123
     0.865954     0.344658
     0.889375     0.352283
     0.913425     0.358788
     0.938172     0.364101
     0.963547     0.368062
     0.989622     0.370559
      1.01631     0.371647
      1.04387     0.371136
      1.07203     0.368897
      1.10107     0.364884
      1.13080     0.359062
      1.16142     0.351392
      1.19282     0.341973
      1.22512     0.330265
      1.25825     0.315747
      1.29228     0.302404
      1.32723     0.287710
      1.36313     0.271908
      1.40000     0.255203
      1.43787     0.237795
      1.47677     0.219966
      1.51669     0.201951
      1.55773     0.183924
      1.59986     0.166172
      1.64312     0.149020
      1.68756     0.132473
      1.73322     0.116671
      1.78010     0.102663
      1.82825    0.0900822
      1.87768    0.0773386
      1.92847    0.0654714
      1.98064    0.0551347
      2.03420    0.0461009
      2.08922    0.0381099
      2.14574    0.0311248
      2.20375    0.0387361
      2.26338    0.0317781
      2.32458    0.0260718
      2.38748    0.0208734
      2.45204    0.0164927
      2.51833    0.0128499
      2.58648   0.00986290
      2.65642   0.00745394
      2.72827     0.277693
      2.80209     0.256298
      2.87787     0.235710
      2.95568     0.216054
      3.03565     0.196987
      3.11772     0.178624
      3.20204     0.161114
      3.28868     0.143453
      3.37765     0.126952
      3.46895     0.111339
      3.56277    0.0970610
      3.65920    0.0842126
      3.75815    0.0724300
      3.85983    0.0617139
      3.96425    0.0520642
      4.07140    0.0434777
      4.18154    0.0359162
      4.29467    0.0293215
      4.41080    0.0524471
      4.53007    0.0437803
      4.65266    0.0363694
      4.77837    0.0305486
      4.90776    0.0256095
      5.04046    0.0213391
      5.17685    0.0176279
      5.31672    0.0143302
      5.46051    0.0114464
      5.60823   0.00893467
      5.75988   0.00682546
