 ;  
 ;	Ran mewe_spec.pro for Temperature of 0.5 MK and 1-20 MK on 1 MK steps
 ;		and wavelength range from 0-300 Angstroms on 0.1 Angstrom grid
 ;  Then took weighted averages over all temperatures appropriate for solar min. and solar max. 
 ;		with scaling to Woods & Rottman solar reference spectrum at 200 Angstroms
 ;
 ;	Tom Woods,  5/29/04
 ;
 3000 lines : Mewe solar spectra at 0.5 MK and 1-20 MK on 1 MK steps weighted for solar min & max
 3 columns : wavelength (Angstroms), solar min and max spectra in units of photons/cm^2/second
      17.3500      27496.4      206190.
      17.4500      158043.      647724.
      17.5500      420203.  2.31289e+06
      17.6500      29232.3      213907.
      17.7500      334357.  1.24053e+06
      17.8500      30417.1      219088.
      17.9500      31018.3      221691.
      18.0500      31625.0      224304.
      18.1500      32237.1      226922.
      18.2500      32854.6      229548.
      18.3500      33477.2      232179.
      18.4500      34105.9      234819.
      18.5500      34740.0      237469.
      18.6500  1.00110e+06  3.43842e+06
      18.7500      30649.6      276770.
      18.8500      31217.8      214552.
      18.9500  3.63002e+06  2.49066e+07
      19.0500      34755.4      232678.
      19.1500      119852.      574030.
      19.2500      64569.0      720489.
      19.3500      53262.6      314685.
      19.4500      41789.1      268254.
      19.5500      43107.8      406293.
      19.6500      44359.9      300671.
      19.7500      77948.2      448931.
      19.8500      46720.0      291579.
      19.9500      47846.3      296750.
      20.0500      228194.      848037.
      20.1500      50017.6      306571.
      20.2500      51069.9      363621.
      20.3500      52103.1      389218.
      20.4500      53120.7      395234.
      20.5500      54124.6      324629.
      20.6500      55114.8      328885.
      20.7500      103988.      514158.
      20.8500      57060.9      337147.
      20.9500      204644.      921030.
      21.0500      62564.4      422477.
      21.1500      59911.5      349005.
      21.2500      60846.4      679813.
      21.3500      61773.6      356599.
      21.4500      62783.0  1.05610e+06
      21.5500      63612.7      363988.
      21.6500  9.52867e+06  3.17290e+07
      21.7500  2.11059e+06  6.78920e+06
      21.8500      66331.8      374710.
      21.9500      67230.2      378203.
      22.0500      73404.5      400804.
      22.1500  7.49272e+06  2.42967e+07
      22.2500      81645.1      554934.
      22.3500      84641.3      441941.
      22.4500      87332.0      451769.
      22.5500      88506.1      457433.
      22.6500      90040.4      464030.
      22.7500      97584.8  2.00700e+06
      22.8500      94244.2      479336.
      22.9500      96196.5      486437.
      23.0500      117648.      861211.
      23.1500      138844.      657152.
      23.2500      126162.      576497.
      23.3500      103385.      512328.
      23.4500      105052.      518281.
      23.5500      106706.      838269.
      23.6500      108264.      529696.
      23.7500      167341.      699539.
      23.8500      111329.      540510.
      23.9500      112814.      545720.
      24.0500      114271.      550817.
      24.1500      190988.  1.64013e+06
      24.2500      227569.  2.98285e+06
      24.3500      118480.      565424.
      24.4500      119836.      570092.
      24.5500      131413.      742796.
      24.6500      122484.      579159.
      24.7500  1.87361e+06  7.40654e+06
      24.8500      325311.  1.26602e+06
      24.9500      126318.      753142.
      25.0500      128350.      598810.
      25.1500      130156.      604732.
      25.2500      131760.      610004.
      25.3500      101198.      509377.
      25.4500      102318.      596883.
      25.5500      391689.  1.31275e+06
      25.6500      104418.      691515.
      25.7500      105394.      523703.
      25.8500      106635.      621391.
      25.9500      107601.      634112.
      26.0500      369340.  1.33454e+06
      26.1500      423127.  1.66887e+06
      26.2500      109975.      539192.
      26.3500      288602.  1.36452e+06
      26.4500      111662.      544831.
      26.5500      126576.      586119.
      26.6500      113283.      550219.
      26.7500      114070.      552818.
