           eV         A/W                %
        50.5714   -3.45435E-06        2583.20
        52.7234    4.52340E-07        13983.1
        55.0667   -1.27658E-06        3664.80
        57.6279   -2.76426E-08        119712.
        60.4390   -1.80035E-07        12849.9
        63.5385    1.09783E-06        1612.30
        66.9730    1.08108E-06        1386.40
        70.8000    1.24547E-06        1218.50
        74.6385    2.55693E-06        621.500
        79.4231    1.58721E-05        72.9000
        84.8630    4.18841E-05        19.6000
        91.1029    0.000224027        2.60000
        98.3333     0.00107562        1.00000
        106.810     0.00192563        1.50000
        116.887     0.00354259        1.40000
        123.900     0.00506109        1.40000
        130.421     0.00659109        1.40000
        137.667     0.00874257        1.30000
        149.277      0.0104927        1.30000
        158.846      0.0104399        1.20000
        169.726     0.00934703        1.20000
        182.206     0.00791927        1.10000
        196.667     0.00462897        1.00000
        213.621     0.00114253        1.00000
        233.774    0.000521426        1.30000
        247.800    0.000333651        3.80000
        250.000    0.000320896        1.40000
        260.000    0.000291265        14.3000
        270.000    0.000283480        13.5000
        280.000    0.000297013        16.8000
        310.000    0.000295351        11.9000
        330.000    0.000255715        7.70000
        350.000    0.000290667        5.50000
        370.000    0.000388625        4.10000
        390.000    0.000497744        3.20000
        410.000    0.000678607        2.40000
        430.000    0.000859129        1.90000
        450.000     0.00107117        1.50000
        490.000     0.00142951        7.40000
        530.000     0.00235199        4.50000
        570.000     0.00325593        3.00000
        610.000     0.00494946        1.30000
        650.000     0.00712187       0.900000
        690.000      0.0100462       0.800000
        720.000      0.0131043       0.800000
        760.000      0.0169373       0.900000
        800.000      0.0211654       0.900000
        840.000      0.0261454       0.900000
        880.000      0.0315909       0.900000
        920.000      0.0370478       0.900000
        1000.00      0.0487573        1.30000
        1100.00      0.0618562        1.40000
        1200.00      0.0725718        1.50000
        1300.00      0.0800402        1.60000
        1400.00      0.0844069        1.80000
        1500.00      0.0857117        1.90000

