           eV         A/W                %
        50.5714   -4.63464E-07        19253.7
        52.7234   -1.07558E-05        588.100
        55.0667   -1.62088E-05        288.600
        57.6279   -1.96989E-05        168.000
        60.4390   -1.93801E-05        119.400
        63.5385   -1.52717E-05        115.900
        66.9730    1.39686E-05        107.300
        70.8000    0.000112286        13.5000
        74.6385    0.000238876        6.30000
        79.4231    0.000336982        3.40000
        84.8630    0.000426942        2.10000
        91.1029    0.000608671        1.40000
        98.3333    0.000870868        1.10000
        106.810    0.000622145        1.60000
        116.887    0.000666323        4.50000
        123.900    0.000760988        3.10000
        130.421    0.000908103        3.30000
        137.667     0.00134969        2.70000
        149.277     0.00198026        1.60000
        158.846     0.00238418        1.90000
        169.726     0.00301914        1.90000
        182.206     0.00517300        1.70000
        196.667     0.00794422        2.20000
        213.621      0.0117532        3.40000
        233.774      0.0163484        1.20000
        247.800      0.0223957        1.20000
        250.000      0.0238728        1.00000
        260.000      0.0279440        1.00000
        270.000      0.0318179        1.00000
        280.000      0.0357143       0.900000
        310.000      0.0316656       0.900000
        330.000      0.0436529       0.900000
        350.000      0.0543502       0.900000
        370.000      0.0636198       0.900000
        390.000      0.0741471       0.800000
        410.000      0.0840622       0.800000
        430.000      0.0953825       0.800000
        450.000       0.101437       0.800000
        490.000     0.00352447        4.60000
        530.000     0.00499342        3.20000
        570.000     0.00573554        2.40000
        610.000     0.00802582        1.10000
        650.000      0.0116846       0.900000
        690.000      0.0177095       0.800000
        720.000      0.0226764       0.800000
        760.000      0.0301507       0.900000
        800.000      0.0377280       0.900000
        840.000      0.0462560       0.900000
        880.000      0.0542611       0.900000
        920.000      0.0624650       0.900000
        1000.00      0.0780214        1.30000
        1100.00      0.0938383        1.40000
        1200.00       0.104580        1.50000
        1300.00       0.110141        1.60000
        1400.00       0.111534        1.80000
        1500.00       0.109353        1.90000

