2363 lines: X123 SURF flux @ 331 MeV
6 columns: BeamEnergy (MeV)	PhotonEnergy (keV)	Wavelength (nm)	Flux (ph/sec-0.15 keV-mA)	Ratio	Mesh
331	12.050	0.102891	6.98816E-46	0.999981	60
331	12.045	0.102934	7.36138E-46	0.999981	60
331	12.040	0.102977	7.75453E-46	0.999981	60
331	12.035	0.103020	8.16867E-46	0.999981	60
331	12.030	0.103063	8.60494E-46	0.999981	60
331	12.025	0.103105	9.06450E-46	0.999981	60
331	12.020	0.103148	9.54861E-46	0.999981	60
331	12.015	0.103191	1.00586E-45	0.999981	60
331	12.010	0.103234	1.05958E-45	0.999981	60
331	12.005	0.103277	1.11617E-45	0.999981	60
331	12.000	0.103320	1.17578E-45	0.999981	60
331	11.995	0.103363	1.23857E-45	0.999981	60
331	11.990	0.103406	1.30472E-45	0.999981	60
331	11.985	0.103449	1.37440E-45	0.999981	60
331	11.980	0.103493	1.44780E-45	0.999981	60
331	11.975	0.103536	1.52513E-45	0.999981	60
331	11.970	0.103579	1.60658E-45	0.999981	60
331	11.965	0.103622	1.69238E-45	0.999981	60
331	11.960	0.103666	1.78276E-45	0.999981	60
331	11.955	0.103709	1.87798E-45	0.999981	60
331	11.950	0.103752	1.97827E-45	0.999981	60
331	11.945	0.103796	2.08393E-45	0.999981	60
331	11.940	0.103839	2.19522E-45	0.999981	60
331	11.935	0.103883	2.31246E-45	0.999981	60
331	11.930	0.103926	2.43597E-45	0.999981	60
331	11.925	0.103970	2.56606E-45	0.999981	60
331	11.920	0.104014	2.70311E-45	0.999981	60
331	11.915	0.104057	2.84747E-45	0.999981	60
331	11.910	0.104101	2.99955E-45	0.999981	60
331	11.905	0.104145	3.15974E-45	0.999981	60
331	11.900	0.104188	3.32850E-45	0.999981	60
331	11.895	0.104232	3.50626E-45	0.999981	60
331	11.890	0.104276	3.69352E-45	0.999981	60
331	11.885	0.104320	3.89078E-45	0.999981	60
331	11.880	0.104364	4.09857E-45	0.999981	60
331	11.875	0.104408	4.31747E-45	0.999981	60
331	11.870	0.104452	4.54805E-45	0.999981	60
331	11.865	0.104496	4.79095E-45	0.999981	60
331	11.860	0.104540	5.04682E-45	0.999981	60
331	11.855	0.104584	5.31635E-45	0.999981	60
331	11.850	0.104628	5.60028E-45	0.999981	60
331	11.845	0.104672	5.89938E-45	0.999981	60
331	11.840	0.104716	6.21444E-45	0.999981	60
331	11.835	0.104761	6.54634E-45	0.999981	60
331	11.830	0.104805	6.89596E-45	0.999981	60
331	11.825	0.104849	7.26425E-45	0.999981	60
331	11.820	0.104894	7.65221E-45	0.999981	60
331	11.815	0.104938	8.06089E-45	0.999981	60
331	11.810	0.104982	8.49140E-45	0.999981	60
331	11.805	0.105027	8.94490E-45	0.999981	60
331	11.800	0.105071	9.42262E-45	0.999981	60
331	11.795	0.105116	9.92585E-45	0.999981	60
331	11.790	0.105160	1.04560E-44	0.999981	60
331	11.785	0.105205	1.10144E-44	0.999981	60
331	11.780	0.105250	1.16026E-44	0.999981	60
331	11.775	0.105294	1.22223E-44	0.999981	60
331	11.770	0.105339	1.28750E-44	0.999981	60
331	11.765	0.105384	1.35627E-44	0.999981	60
331	11.760	0.105429	1.42870E-44	0.999981	60
331	11.755	0.105474	1.50500E-44	0.999981	60
331	11.750	0.105518	1.58538E-44	0.999981	60
331	11.745	0.105563	1.67005E-44	0.999981	60
331	11.740	0.105608	1.75924E-44	0.999981	60
331	11.735	0.105653	1.85320E-44	0.999981	60
331	11.730	0.105698	1.95217E-44	0.999981	60
331	11.725	0.105743	2.05643E-44	0.999981	60
331	11.720	0.105789	2.16626E-44	0.999981	60
331	11.715	0.105834	2.28195E-44	0.999981	60
331	11.710	0.105879	2.40383E-44	0.999981	60
331	11.705	0.105924	2.53221E-44	0.999981	60
331	11.700	0.105969	2.66744E-44	0.999981	60
331	11.695	0.106015	2.80991E-44	0.999981	60
331	11.690	0.106060	2.95997E-44	0.999981	60
331	11.685	0.106105	3.11806E-44	0.999981	60
331	11.680	0.106151	3.28458E-44	0.999981	60
331	11.675	0.106196	3.46000E-44	0.999981	60
331	11.670	0.106242	3.64479E-44	0.999981	60
331	11.665	0.106287	3.83945E-44	0.999981	60
331	11.660	0.106333	4.04450E-44	0.999981	60
331	11.655	0.106379	4.26051E-44	0.999981	60
331	11.650	0.106424	4.48805E-44	0.999981	60
331	11.645	0.106470	4.72774E-44	0.999981	60
331	11.640	0.106516	4.98023E-44	0.999981	60
331	11.635	0.106561	5.24621E-44	0.999981	60
331	11.630	0.106607	5.52640E-44	0.999981	60
331	11.625	0.106653	5.82155E-44	0.999981	60
331	11.620	0.106699	6.13246E-44	0.999981	60
331	11.615	0.106745	6.45997E-44	0.999981	60
331	11.610	0.106791	6.80498E-44	0.999981	60
331	11.605	0.106837	7.16842E-44	0.999981	60
331	11.600	0.106883	7.55126E-44	0.999981	60
331	11.595	0.106929	7.95455E-44	0.999981	60
331	11.590	0.106975	8.37938E-44	0.999981	60
331	11.585	0.107021	8.82690E-44	0.999981	60
331	11.580	0.107068	9.29831E-44	0.999981	60
331	11.575	0.107114	9.79491E-44	0.999981	60
331	11.570	0.107160	1.03180E-43	0.999981	60
331	11.565	0.107206	1.08691E-43	0.999981	60
331	11.560	0.107253	1.14496E-43	0.999981	60
331	11.555	0.107299	1.20611E-43	0.999981	60
331	11.550	0.107346	1.27052E-43	0.999981	60
331	11.545	0.107392	1.33837E-43	0.999981	60
331	11.540	0.107439	1.40985E-43	0.999981	60
331	11.535	0.107485	1.48515E-43	0.999981	60
331	11.530	0.107532	1.56447E-43	0.999981	60
331	11.525	0.107578	1.64802E-43	0.999981	60
331	11.520	0.107625	1.73604E-43	0.999981	60
331	11.515	0.107672	1.82875E-43	0.999981	60
331	11.510	0.107719	1.92642E-43	0.999981	60
331	11.505	0.107765	2.02931E-43	0.999981	60
